;人民日报;中国日报;海峡时报;联合早报;读卖新闻;每日新闻;印度时报;印度斯坦时报;纽约时报;华盛顿邮报;俄罗斯报;消息报;朝鲜日报;东亚日报;菲律宾每日询问者报;菲律宾星报;法国世界报;解放报;南德意志报;德国世界报;圣保罗报;环球报;水星报;星报;新海峡时报;星洲日报;信使报;时代评论者报;雅加达邮报;雅加达环球报;卫报;泰晤士报
人民日报,,171;41;283;113;114;92;12;878;542;62;141;50;18;17;13;181;41;69;204;39;30;0;16;8;34;3;0;60;7;309;145
中国日报;2800,,1;49;192;127;125;60;4195;452;4;6;74;20;25;22;94;83;30;25;9;19;2;2;0;7;5;5;44;6;251;196
海峡时报;228;194,,1259;81;41;80;42;1184;290;2;1;22;11;41;33;33;33;2;7;0;2;0;0;0;146;1;1;207;132;337;96
联合早报;766;58;4127,,143;66;27;15;823;275;1;2;99;19;9;4;50;11;3;30;0;0;0;0;15;344;1;0;28;13;137;96
读卖新闻;301;9;16;0,,763;0;9;197;275;0;40;152;93;0;0;7;224;18;0;0;4;0;0;0;0;0;0;7;0;151;87
每日新闻;1634;13;5;0;757,,0;6;243;407;0;18;1768;105;0;0;107;1618;47;0;0;7;0;0;0;0;0;0;5;0;285;85
印度时报;283;127;47;0;1;1,,258;1131;383;1;0;1;0;0;1;12;7;1;1;0;3;3;2;0;0;0;0;2;1;255;122
印度斯坦时报;109;136;3;0;1;0;242,,533;257;0;5;1;0;0;1;34;12;2;3;1;7;5;9;1;0;0;0;3;4;398;96
纽约时报;722;483;0;3;79;22;288;224,,5572;9;87;55;7;12;11;800;348;134;147;87;58;12;11;0;1;10;14;29;11;4197;3380
华盛顿邮报;225;112;0;1;33;1;81;44;10089,,3;18;10;2;1;0;64;35;13;9;1;8;3;3;0;1;6;3;1;0;2322;199
俄罗斯报;29;2;1;0;6;0;0;0;85;1,,225;15;0;0;0;8;21;8;14;0;0;0;0;0;0;0;0;0;0;37;31
消息报;12;7;0;0;0;0;0;0;66;79;225,,6;0;0;0;11;7;2;22;0;0;0;0;0;0;0;0;0;0;128;32
朝鲜日报;139;17;0;1;68;67;5;1;131;61;15;3,,910;0;2;39;42;1;4;0;0;0;0;0;0;0;0;1;0;37;16
东亚日报;41;16;0;0;45;20;0;0;113;54;0;0;66,,1;0;6;7;0;1;0;0;0;0;0;0;0;0;0;0;22;11
菲律宾每日询问者报;35;39;2;0;7;2;5;0;384;70;0;1;2;0,,63;7;4;0;0;0;0;1;0;2;3;0;3;15;1;114;21
菲律宾星报;25;44;1;0;2;0;0;1;92;35;0;0;0;0;93,,3;2;1;0;0;0;0;13;0;0;0;0;2;3;81;7
法国世界报;61;66;0;0;3;0;1;0;35;8;8;38;20;3;1;1,,1240;349;185;42;25;0;0;0;0;3;10;1;1;277;52
解放报;55;64;0;0;8;3;6;0;30;15;21;20;9;4;0;0;407,,96;111;11;10;0;0;0;0;2;0;0;0;131;67
南德意志报;16;89;0;0;17;7;4;27;213;19;6;123;25;6;0;1;446;333,,747;64;138;1;20;0;0;1;18;0;1;277;260
德国世界报;12;72;0;0;10;3;0;9;33;7;14;43;22;1;0;1;87;110;368,,16;19;8;15;0;0;1;8;0;0;106;86
圣保罗报;52;150;0;0;14;0;10;5;1317;68;0;6;5;0;1;0;269;69;21;20,,928;0;9;0;0;0;0;7;0;428;135
环球报;17;30;0;0;4;1;5;3;649;105;0;6;2;0;0;0;456;112;22;29;42,,0;56;0;0;0;31;0;0;518;125
水星报;10;26;0;0;2;3;40;14;336;385;0;2;0;0;0;1;25;0;8;3;3;0,,806;0;0;0;0;0;0;88;126
星报;33;63;0;0;11;8;18;2;189;319;1;0;0;0;0;0;0;0;3;4;2;4;320,,0;0;6;3;8;1;111;209
新海峡时报;69;34;0;3;5;0;51;11;152;35;0;0;2;0;18;7;4;0;0;0;0;0;2;0,,41;1;2;37;15;62;64
星洲日报;467;334;229;421;258;106;51;7;1019;395;3;13;230;36;15;37;28;6;10;15;1;3;0;0;1125,,8;0;96;30;328;233
信使报;1;3;0;0;0;0;0;1;69;10;0;0;2;0;0;0;34;4;6;8;21;46;0;0;0;0,,1597;0;0;1;38
时代评论者报;0;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;20,,0;0;0;0
雅加达邮报;48;25;4;0;4;0;13;2;121;29;0;1;2;0;7;0;8;0;1;0;0;2;2;0;2;0;1;1,,8;14;14
雅加达环球报;4;3;0;2;0;0;0;0;108;30;0;1;1;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;6,,0;0
卫报;249;217;0;0;50;12;243;94;8090;1884;14;33;35;11;4;3;756;333;4;119;44;68;31;56;2;0;22;16;21;16,,2351
泰晤士报;374;175;0;1;53;1;282;75;6375;1757;21;125;48;16;5;4;934;666;244;315;21;18;53;63;1;0;17;12;16;7;5541;
