Source,Target,xianlu
苹果园,古城,1号线
古城,八角游乐园,1号线
八角游乐园,八宝山,1号线
八宝山,玉泉路,1号线
玉泉路,五棵松,1号线
五棵松,万寿路,1号线
万寿路,公主坟,1号线
公主坟,军事博物馆,1号线
军事博物馆,木樨地,1号线
木樨地,南礼士路,1号线
南礼士路,复兴门,1号线
复兴门,西单,1号线
西单,天安门西,1号线
天安门西,天安门东,1号线
天安门东,王府井,1号线
王府井,东单,1号线
东单,建国门,1号线
建国门,永安里,1号线
永安里,国贸,1号线
国贸,大望路,1号线
大望路,四惠,1号线
四惠,四惠东,八通线
西直门,积水潭,2号线
积水潭,鼓楼大街,2号线
鼓楼大街,安定门,2号线
安定门,雍和宫,2号线
雍和宫,东直门,2号线
东直门,东四十条,2号线
东四十条,朝阳门,2号线
朝阳门,建国门,2号线
建国门,北京站,2号线
北京站,崇文门,2号线
崇文门,前门,2号线
前门,和平门,2号线
和平门,宣武门,2号线
宣武门,长椿街,2号线
长椿街,复兴门,2号线
复兴门,阜成门,2号线
阜成门,车公庄,2号线
安河桥北,北宫门,4号线
北宫门,西苑,4号线
西苑,圆明园,4号线
圆明园,北京大学东门,4号线
北京大学东门,中关村,4号线
中关村,海淀黄庄,4号线
海淀黄庄,人民大学,4号线
人民大学,魏公村,4号线
魏公村,国家图书馆,4号线
国家图书馆,动物园,4号线
动物园,西直门,4号线
西直门,新街口,4号线
新街口,平安里,4号线
平安里,西四,4号线
西四,灵境胡同,4号线
灵境胡同,西单,4号线
西单,宣武门,4号线
宣武门,菜市口,4号线
菜市口,陶然亭,4号线
陶然亭,北京南站,4号线
北京南站,马家堡,4号线
马家堡,角门西,4号线
角门西,公益西桥,4号线
宋家庄,刘家窑,5号线
刘家窑,蒲黄榆,5号线
蒲黄榆,天坛东门,5号线
天坛东门,磁器口,5号线
磁器口,崇文门,5号线
崇文门,东单,5号线
东单,灯市口,5号线
灯市口,东四,5号线
东四,张自忠路,5号线
张自忠路,北新桥,5号线
北新桥,雍和宫,5号线
雍和宫,和平里北街,5号线
和平里北街,和平西桥,5号线
和平西桥,惠新西街南口,5号线
惠新西街南口,惠新西街北口,5号线
惠新西街北口,大屯路东,5号线
大屯路东,北苑路北,5号线
北苑路北,立水桥南,5号线
立水桥南,立水桥,5号线
立水桥,天通苑南,5号线
天通苑南,天通苑,5号线
天通苑,天通苑北,5号线
海淀五路居,慈寿寺,6号线
慈寿寺,花园桥,6号线
花园桥,白石桥南,6号线
白石桥南,车公庄西,6号线
车公庄西,车公庄,6号线
车公庄,平安里,6号线
平安里,北海北,6号线
北海北,南锣鼓巷,6号线
南锣鼓巷,东四,6号线
东四,朝阳门,6号线
朝阳门,东大桥,6号线
东大桥,呼家楼,6号线
呼家楼,金台路,6号线
金台路,十里堡,6号线
十里堡,青年路,6号线
青年路,褡裢坡,6号线
褡裢坡,黄渠,6号线
黄渠,常营,6号线
常营,草房,6号线
草房,物资学院路,6号线
物资学院路,通州北关,6号线
通州北关,通运门,6号线
通运门,北运河西,6号线
北运河西,北运河东,6号线
北运河东,郝家府,6号线
郝家府,东夏园,6号线
东夏园,潞城,6号线
北京西站,湾子,7号线
湾子,达官营,7号线
达官营,广安门内,7号线
广安门内,菜市口,7号线
菜市口,虎坊桥,7号线
虎坊桥,珠市口,7号线
珠市口,桥湾,7号线
桥湾,磁器口,7号线
磁器口,广渠门内,7号线
广渠门内,广渠门外,7号线
广渠门外,双井,7号线
双井,九龙山,7号线
九龙山,大郊亭,7号线
大郊亭,百子湾,7号线
百子湾,化工,7号线
化工,南楼梓庄,7号线
南楼梓庄,欢乐谷景区,7号线
欢乐谷景区,垡头,7号线
垡头,双合,7号线
双合,焦化厂,7号线
朱辛庄,育知路,8号线
育知路,平西府,8号线
平西府,回龙观东大街,8号线
回龙观东大街,霍营,8号线
霍营,育新,8号线
育新,西小口,8号线
西小口,永泰庄,8号线
永泰庄,林萃桥,8号线
林萃桥,森林公园南门,8号线
森林公园南门,奥林匹克公园,8号线
奥林匹克公园,奥体中心,8号线
奥体中心,北土城,8号线
北土城,安华桥,8号线
安华桥,安德里北街,8号线
安德里北街,鼓楼大街,8号线
鼓楼大街,什刹海,8号线
什刹海,南锣鼓巷,8号线
郭公庄,丰台科技园,9号线
丰台科技园,科怡路,9号线
科怡路,丰台南路,9号线
丰台南路,丰台东大街,9号线
丰台东大街,七里庄,9号线
七里庄,六里桥,9号线
六里桥,六里桥东,9号线
六里桥东,北京西站,9号线
北京西站,军事博物馆,9号线
军事博物馆,白堆子,9号线
白堆子,白石桥南,9号线
白石桥南,国家图书馆,9号线
巴沟,苏州街,10号线
苏州街,海淀黄庄,10号线
海淀黄庄,知春里,10号线
知春里,知春路,10号线
知春路,西土城,10号线
西土城,牡丹园,10号线
牡丹园,健德门,10号线
健德门,北土城,10号线
北土城,安贞门,10号线
安贞门,惠新西街南口,10号线
惠新西街南口,芍药居,10号线
芍药居,太阳宫,10号线
太阳宫,三元桥,10号线
三元桥,亮马桥,10号线
亮马桥,农业展览馆,10号线
农业展览馆,团结湖,10号线
团结湖,呼家楼,10号线
呼家楼,金台夕照,10号线
金台夕照,国贸,10号线
国贸,双井,10号线
双井,劲松,10号线
劲松,潘家园,10号线
潘家园,十里河,10号线
十里河,分钟寺,10号线
分钟寺,成寿寺,10号线
成寿寺,宋家庄,10号线
宋家庄,石榴庄,10号线
石榴庄,大红门,10号线
大红门,角门东,10号线
角门东,角门西,10号线
角门西,草桥,10号线
草桥,纪家庙,10号线
纪家庙,首经贸,10号线
首经贸,丰台站,10号线
丰台站,泥洼,10号线
泥洼,西局,10号线
西局,六里桥,10号线
六里桥,莲花桥,10号线
莲花桥,公主坟,10号线
公主坟,西钓鱼台,10号线
西钓鱼台,慈寿寺,10号线
慈寿寺,车道沟,10号线
车道沟,长春桥,10号线
长春桥,火器营,10号线
西直门,大钟寺,13号线
大钟寺,知春路,13号线
知春路,五道口,13号线
五道口,上地,13号线
上地,西二旗,13号线
西二旗,龙泽,13号线
龙泽,回龙观,13号线
回龙观,霍营,13号线
霍营,立水桥,13号线
立水桥,北苑,13号线
北苑,望京西,13号线
望京西,芍药居,13号线
芍药居,光熙门,13号线
光熙门,柳芳,13号线
柳芳,东直门,13号线
张郭庄,园博园,14号线
园博园,大瓦窑,14号线
大瓦窑,郭庄子,14号线
郭庄子,大井,14号线
大井,七里庄,14号线
七里庄,西局,14号线
西局,善各庄,14号线
善各庄,陶然桥,14号线
陶然桥,永定门,14号线
永定门,景泰,14号线
景泰,方庄,14号线
方庄,北工大西门,14号线
北工大西门,平乐园,14号线
