uid,user_name,verifiedType,following,followers,statusCount,location
1231697321,高琮_139,普通用户,761,73,86,山西 临汾
2215714060,临汾市途乐旅行社,普通用户,466,166,108,山西 临汾
2195695331,Mr彡石,微博达人,342,306,122,陕西 咸阳
1937234967,旧旧旧旧旧恋Baby,普通用户,116,48,64,山西 临汾
2202212543,小烟儿冒着,普通用户,1004,128,383,山西 临汾
2241131385,冰雪1105,普通用户,196,7,0,山西 临汾
1938355971,小黑很lucky,普通用户,155,86,186,北京 海淀区
1855824374,卍夜深沉卍,普通用户,241,114,498,山西 临汾
1882609763,为你为爱走天涯,普通用户,285,111,404,山西 临汾
1561162624,盘底洋葱_,普通用户,162,71,210,山西 临汾
1853958971,世界向右倾斜,普通用户,195,243,1251,山西 临汾
2005022557,快刀169,普通用户,475,650,2295,山西 临汾
1856143514,红子的新家,普通用户,208,81,913,浙江 台州
2073207187,chloe-1988,普通用户,241,164,166,山西 临汾
1058406230,董君毅-临汾之星,普通用户,247,121,111,山西 临汾
2236729885,你喜欢的蜜,普通用户,67,17,33,山西 临汾
2040487911,Andy_陈小猪,普通用户,99,85,273,山西 临汾
2235127513,Tz_流氓兔,普通用户,63,85,105,山西 临汾
2105898651,空白不是没有语言,普通用户,288,143,165,山西 临汾
1862989345,王子影0,普通用户,72,67,15,山西 临汾
1778413981,小德强强,普通用户,141,106,394,山西 临汾
2074957547,I_am_菜菜Y,普通用户,518,106,314,山西 临汾
1468991494,liujian585858,普通用户,485,253,2998,山西 临汾
2218979761,cx的新家,普通用户,247,114,215,山西 临汾
2230508425,一个需要恋爱的夏天,普通用户,37,8,7,山西 临汾
2218577017,A--幸福控,普通用户,541,677,67,山西 临汾
1854664034,花非花雾中雾,普通用户,2000,429,833,山西 临汾
2218753520,快乐ugly,普通用户,80,41,58,山西 临汾
2231036701,love浮华透过瞳孔,普通用户,139,142,227,山西 临汾
1952414205,熊宝宝快跑,普通用户,19,51,44,山西 临汾
2216914111,-米秀,普通用户,135,13,37,山西 临汾
1781020041,Fan中YI熊-猪豆,微博达人,277,252,497,山西 临汾
1939442847,周子喻Nick,普通用户,202,71,93,河北 廊坊
1456301383,通志远洋,普通用户,240,39,20,山西 临汾
1973120145,张秀敏幸福,普通用户,164,78,375,山西 临汾
1773105564,宋朕Paranoid,个人认证,312,12907,399,北京 朝阳区
1736717754,婷婷DP,普通用户,170,31,18,山西 临汾
2215296772,U-DYXF,普通用户,94,17,30,山西 临汾
1631436857,花田0-0,普通用户,614,989,2025,山西 临汾
1942534555,想你就像心跳LTe,普通用户,522,21,12,海外
1676806262,咕噜嘻哇,普通用户,24,17,6,山西 临汾
2086388335,翔子0王鹏翔0,普通用户,594,382,1006,山西 临汾
1866217791,良品茉莉,普通用户,100,54,239,山西 临汾
1960189731,SwingYoung,普通用户,34,31,59,山西 太原
2216123025,勤劳--怡然,普通用户,137,121,274,山西 临汾
2215677557,pcn推广,普通用户,1291,555,329,山西 临汾
2104781814,王子涵日记,普通用户,336,289,156,山西 临汾
2215831087,淘之_宝,普通用户,939,139,121,山西 临汾
2212188267,我爱Mik,普通用户,95,37,19,山西 临汾
2208658931,吉Lawrence,普通用户,377,82,166,山西 临汾
1823656547,宋超不陌生,普通用户,96,60,150,山西 临汾
1821218543,具有潜力的_MAN,普通用户,230,86,154,山西 临汾
1692776240,木初夏,普通用户,112,147,653,山西 临汾
2128613541,芳草涟漪,普通用户,236,114,162,山西 临汾
1350484471,A卓然,普通用户,993,405,1353,山西 临汾
1842202685,昆仑山--LIN,普通用户,212,105,198,山西 临汾
2176688133,怕失去是郭米芾的本性,普通用户,338,103,315,山西 临汾
1086834054,香水百荷001,普通用户,411,234,1754,山西
1854616102,麦兜honey的MM,普通用户,410,326,2692,山西 临汾
1725690001,爱心幸福使者,微博达人,488,194,1565,北京 朝阳区
2206027435,海盗电台H,普通用户,170,27,48,天津 河东区
1907630615,山人789,普通用户,242,175,219,山西 临汾
1333582421,凡小苗,微博达人,682,392,600,山西 临汾
1900904773,冯小芮-牛鲜花儿,普通用户,156,60,6,山西 临汾
1745254212,你的微笑像朵花w,普通用户,209,108,414,山西 临汾
2179879605,龙成骑士,微博达人,1895,927,1244,陕西 西安
1095368821,不爱坏鸟,普通用户,55,45,35,山西 临汾
2204332605,CNBlueELIA,微博达人,1038,399,1751,山西 临汾
1876200067,见习爱-瑾艺,普通用户,188,187,743,山西 临汾
1864645177,面包手爱德华,普通用户,81,44,20,山西 临汾
1877568463,德鲁蒙德,微博达人,446,195,519,山西 临汾
1823382763,王正阳Young,普通用户,198,66,671,山西 临汾
2154600915,莫雨晞,普通用户,183,32,548,山西 临汾
1658089164,王彩小屋,普通用户,217,30,27,山西 临汾
2111911883,雨中印季,普通用户,55,51,101,山西 临汾
1915441155,抛弃双鱼-啊,普通用户,110,64,583,山西 临汾
1149606473,留待有缘,微博达人,598,748,2072,山西 临汾
2194689271,欢乐的幸运的落落,普通用户,442,36,328,山西 临汾
1898795941,哈哈猪的小窝,普通用户,399,145,1198,山西 临汾
2188569663,颖迷丽,普通用户,125,65,104,山西 临汾
2150828217,夜未央-0706,普通用户,449,265,437,山西 临汾
1854651892,侯马高志勇,微博达人,278,240,10323,山西 临汾
1875153563,1海墨1,普通用户,942,274,80,山西 临汾
1064561957,sl晴天_0YY,普通用户,248,238,701,山西 临汾
2075764692,莫子熙-,微博达人,280,351,541,山西 临汾
1696294190,有若平民,普通用户,24,52,62,山西 临汾
1705255873,亮品天下L,微博达人,873,321,526,北京 丰台区
1826080151,斌斌努力向上,普通用户,219,80,446,山西 临汾
1930234673,大森林狼,普通用户,54,39,62,山西 临汾
1557844034,米粉兔妹,普通用户,343,111,530,山西 临汾
2153964383,张小_妮,普通用户,230,277,276,山西 临汾
1764989185,VZHai小斌,普通用户,192,447,2224,山西 临汾
1854663042,灰太狼他哥的哥,普通用户,266,10,75,山西 临汾
1955507510,老漂圣上,普通用户,319,250,4699,山西 临汾
1434742033,lijing0146,普通用户,238,83,287,山西 临汾
2184357674,聽沵-唱情歌,普通用户,279,58,179,山西 临汾
1846060035,懒虫小敏感,普通用户,194,96,694,山西 临汾
1982546343,幸福ING624,普通用户,136,21,90,山西 临汾
1375909634,zimeichouchou,普通用户,314,87,88,山西 临汾
1609287881,我是_哼哼将,微博达人,253,236,1012,山西 临汾
1759721145,默写不出的情猜不出的爱,普通用户,399,170,180,山西 临汾
1950013937,不想再掩饰,普通用户,203,97,251,山西 临汾
2115299831,zhou小哥,普通用户,678,589,260,山西
2188018263,小肠肠,普通用户,96,113,301,山西 临汾
2018630817,__尛静,普通用户,1078,241,2635,山西 临汾
1855787462,风驰电掣的牛车,普通用户,1035,495,2479,山西 临汾
1968238747,_黄泉颤抖,普通用户,156,137,177,山西 临汾
2181766542,临汾琳晶通雪佛兰4S店,普通用户,133,83,52,山西 临汾
2178094911,清扬xzlt,普通用户,293,136,516,山西 临汾
2094103447,TOT蘾篺芞Oo,微博达人,329,139,354,山西 临汾
2113714531,上缐只爲你,普通用户,287,15,5,山西 临汾
1751382593,鬼鬼VAE,普通用户,146,148,523,山西 临汾
2180719964,无聊123blog,普通用户,18,30,27,山西 临汾
2180286370,李佳裔,普通用户,200,24,53,山西 临汾
1573402770,北京忽悠你,普通用户,155,151,1921,山西 临汾
1990291531,陈木乔,普通用户,185,37,162,山西 临汾
2182833453,矜持在骚动,普通用户,79,9,3,山西 临汾
1950948144,霍玲瑶-,普通用户,179,1408,962,山西 临汾
2149742345,山西夜归人,普通用户,532,60,242,山西 临汾
2085341753,凌风傲霜雪,普通用户,331,159,100,山西 临汾
1986506233,小马在飞,普通用户,134,71,246,山西 临汾
2180603511,福娃先生,普通用户,295,48,435,山西 临汾
