uid,user_name,verifiedType,following,followers,statusCount,location
1658005715,殷建松,个人认证,810,1120,588,北京 海淀区
1575490373,流浪客---Lisle,普通用户,1684,11605,2002,甘肃 兰州
2166129230,博兴路,普通用户,586,244,229,上海 浦东新区
2402598790,中国科大芳草社,机构认证,240,877,312,安徽 合肥
1261635852,孙果贝尔爱慈善,普通用户,317,495,2975,山西 临汾
2127515405,马力wa,微博达人,1451,3916,576,辽宁 大连
2982910451,临汾声音,普通用户,35,0,1,山西 临汾
2634241502,_I_O,普通用户,216,146,34,北京
2764503061,历史何老师,普通用户,674,822,213,湖南 长沙
2681310571,VIZMIND,普通用户,52,91,21,北京 朝阳区
1820081987,Elearning学研,普通用户,987,1400,1797,北京 东城区
2851684614,IF城市创想,普通用户,122,240,40,其他
1644020085,王武彬Ecko,普通用户,515,736,3925,北京 西城区
2162633563,夏至未达luzerne,普通用户,151,50,297,上海 宝山区
1547417805,平八_数据挖掘,微博达人,366,549,944,北京 西城区
2949314972,smile_forever2012,普通用户,27,20,39,上海 闸北区
1726073180,墨月紫竹,普通用户,168,96,135,山东 青岛
1070149625,可视化田东,普通用户,112,112,163,北京
1563496144,Y_owen,微博达人,604,214,2206,北京 朝阳区
1740601515,麦课在线-孙洪伟,普通用户,166,123,426,北京 海淀区
2360845361,乱拍007,微博达人,378,586,1332,山西 临汾
1689503732,清渠阁居士,个人认证,120,1463,478,福建 厦门
1048755217,天高云淡oo,微博达人,278,3353,1019,上海 浦东新区
1825375995,-旧时光是个美人-,微博达人,249,727,1003,山西 临汾
2605041264,DataV,普通用户,61,3043,124,浙江 杭州
1273609757,数据挖掘_PHP,普通用户,1048,11545,2165,安徽 巢湖
1991953143,田宪允,微博达人,824,527,1842,黑龙江 哈尔滨
1915968423,Lady广大,微博达人,72,744,3044,其他
1927613647,莺啼晓,普通用户,192,121,147,浙江 杭州
1744908151,snowioio,普通用户,195,79,53,北京
1787316625,JIA凤-坚持到底,微博达人,419,652,208,广东 广州
2273790457,冰凌依念,普通用户,278,177,804,山西 临汾
1649475092,臻臻真真,普通用户,279,324,633,香港 其他
2703607141,公益草草,普通用户,325,184,555,北京
1400556975,Being柳棟,个人认证,1258,27366,18554,上海
1820522463,BroadEdu-蓝枫,微博达人,1336,860,1813,北京 东城区
1752214207,本我-白莹,普通用户,219,2259,112,北京
2373459694,舟山dannyyu,微博达人,391,626,2829,浙江 舟山
1695071163,jollyworm,普通用户,797,969,2516,北京
1664410100,潘尼克,普通用户,947,1266,6500,上海 静安区
2566417991,网易数读,机构认证,117,6415,438,北京 海淀区
1801770814,Franklin_EMINEM,普通用户,214,89,79,海外 瑞典
1916787114,totetmatt,普通用户,19,68,81,海外 德国
2627423647,北京大学可视化研究组,普通用户,376,325,33,北京 海淀区
1611403000,MG病友之家,普通用户,168,296,1470,山西 临汾
1615650674,XiaLin_Lisa,普通用户,373,458,1560,上海 宝山区
1908286443,i企鹅,普通用户,45,54,451,北京 海淀区
