uid,user_name,verifiedType,following,followers,statusCount,location
1723179000,8090潮衣,普通用户,648,1551,1384,福建 福州
2418830071,阿迷可儿,普通用户,250,14,0,山西 太原
1763846821,______落寞,普通用户,77,70,207,山西 临汾
1447926360,寒羽20111022,普通用户,8,2,0,山西 临汾
2404204270,临汾锣鼓桥上海大众汽车微博,机构认证,1980,2404,3794,山西 临汾
2403579641,yqlqm168a,普通用户,109,6,3,山西 阳泉
2407180543,随风而逝me,普通用户,96,39,22,山西 临汾
2402472261,人体红太阳,普通用户,93,17,0,山西
2496834224,衣顺利,普通用户,32,5,4,山西 临汾
2382879575,品香书阁,普通用户,1382,1087,987,山西 临汾
1908880627,临汾黄正东,普通用户,626,592,951,山西 临汾
1254253457,空灵---天空,普通用户,744,206,0,山西 临汾
1780265213,zxd笑靥如花兰,普通用户,408,63,71,山西 忻州
1926765100,生生不惜123,普通用户,103,45,38,山西 临汾
1855982667,临汾中国旅行社,机构认证,290,585,21,山西 临汾
1612424997,临汾李天恩,普通用户,1991,555,129,山西 临汾
1617231402,笑苏三,微博达人,1993,442,968,山西 临汾
1594243745,任宝宝-勿忘心安,普通用户,1000,490,873,山西 临汾
1750174811,二龙山的土匪,微博达人,1131,874,2217,山西 太原
1964002187,别的小朋友们,普通用户,1463,1638,239,山西 临汾
1711755335,钓鱼岛拖死美国和小日本,普通用户,1461,429,1091,山西 临汾
1609583643,追寻你的名字,普通用户,1909,1068,0,北京
1973711467,临汾京铁国际旅行社88,普通用户,577,263,22,山西 临汾
2336449537,无v色,微博达人,1297,698,408,广西 南宁
2356093264,云海栀子花,普通用户,1985,566,3,福建 南平
2274907627,gook123网微博,普通用户,1762,370,2331,北京
2305061351,乐月大帝1732,普通用户,1147,109,31,重庆 涪陵区
1338984132,全球顶级笑话,普通用户,1510,1908,1456,山东 滨州
1985052745,7酱__冬__半迷半糊半嘟閙__lin,微博达人,1455,1388,2917,上海 浦东新区
1924622797,山西移动,机构认证,1146,61690,2364,山西 太原
1660779504,姜花花花,普通用户,791,356,682,山西 临汾
1862825610,水墨弹球,普通用户,444,66,14,山西 临汾
1770071520,陌南曦,微博达人,948,415,429,山西 太原
1583812951,在这温暖一刻,普通用户,1224,804,853,山西 临汾
1835484245,卡哇伊卡哇伊的,普通用户,67,16,12,山西 临汾
1695653377,夏之雨儿,普通用户,147,140,246,山西 晋中
1778708013,bie家族,普通用户,109,87,97,江苏 苏州
1753082252,心宽要想海,普通用户,552,338,1173,湖南 衡阳
1850163290,熊猫-lee欣滢,普通用户,204,34,31,内蒙古 赤峰
1795406123,杰娜幸福521,普通用户,71,40,24,山西 临汾
1681257250,D_Shork,微博达人,144,410,838,山西 太原
1812925815,水木晴莺,普通用户,354,156,89,湖南 娄底
1665212253,梓枫是疯子Siler,微博达人,230,673,1817,山西 临汾
1798890915,李小咪Yumi,普通用户,238,156,470,山西 临汾
1263027341,H馅儿的包子,微博达人,1106,339,670,山西 太原
1395723643,上官00,普通用户,769,753,3257,山西 临汾
1187962177,迪克上尉,普通用户,299,151,288,山西 临汾
1791570223,铅笔黑诺言,普通用户,181,106,124,山西 临汾
1829462961,贝儿2009,普通用户,50,14,1,山西 临汾
1825782915,罗罗爱卡应,普通用户,88,15,13,山西 临汾
1807244765,燕子高琴,普通用户,308,53,22,山西 临汾
1786696971,哟-猪猪侠,普通用户,74,137,250,山西 临汾
1783447827,sweet玫玫,微博达人,370,564,936,山西 临汾
1672391105,飞翔的心快乐,普通用户,182,631,156,山西 临汾
1712853222,尧乡之子,普通用户,253,615,1953,山西 临汾
1851835500,超级无敌三八红旗手,普通用户,227,541,120,山西 临汾
1761268241,这样做没错,普通用户,173,228,417,山西 临汾
1261635852,孙果贝尔爱慈善,普通用户,317,495,2975,山西 临汾
1797063823,木子nana,普通用户,265,472,3411,山西 临汾
1550821693,Bodhi_lee,普通用户,138,83,683,山西 临汾
1823720315,我不聪明不漂亮不温柔,普通用户,414,213,784,山西 临汾
1829153155,杜景伟,普通用户,201,81,96,山西 临汾
1829162891,他管我叫宝贝,普通用户,60,21,10,山西 临汾
1829015273,明燕-yanzi,普通用户,46,120,95,山西 临汾
