uid,user_name,verifiedType,following,followers,statusCount,location
1730841132,hitaowoo,微博达人,479,589,8,河南 郑州
1303377657,梨梨梨梨LILILILIL,微博达人,173,419,1843,北京 东城区
1798599995,腿特粗dakan,普通用户,144,615,3107,湖南 长沙
1218669724,wuzhiwo,普通用户,1025,1171,0,山西 临汾
1753021974,驴乐驴,微博达人,775,1527,6966,黑龙江 哈尔滨
1710558513,存活旳理性,普通用户,883,170,135,广东 广州
1805032733,豆瓣酱的小窝,微博达人,231,493,1881,天津 南开区
1976233420,梦想非真,普通用户,180,65,34,山西 临汾
1932268133,爰爰天闵,普通用户,352,84,617,海外 瑞典
1721270803,奋斗态的小M,微博达人,961,2114,9136,江苏 南京
1237824593,雪月呢喃,微博达人,681,2942,10411,山东 聊城
1889748755,Yu小璐,微博达人,207,215,818,山西 临汾
1848036861,耿鑫super鑫,普通用户,205,29,87,山西 临汾
1676707811,c纯净水,普通用户,244,164,489,山东 济南
1660065857,Samzh168,微博达人,1815,612,2604,北京 崇文区
1730355752,美美的微薄,微博达人,1948,1218,1827,山西 临汾
1809616980,失心疯_五块钱,普通用户,66,261,75,山西 临汾
1797685621,静MissRight,普通用户,344,135,491,山西 临汾
1642630330,ooof,微博达人,524,1653,3876,北京 朝阳区
1622329017,默默的窝,普通用户,214,122,475,山西 临汾
