uid,user_name,verifiedType,following,followers,statusCount,location
1132475233,发米嘞,普通用户,59,0,0,山西 临汾
1196922955,傻博士001,普通用户,112,108,397,北京 东城区
1452439961,草莓控,普通用户,1221,647,4618,上海
2872848030,东方出版中心,机构认证,414,564,406,上海 长宁区
2178450925,笨笨眞的耐杰倫,普通用户,174,610,4165,山西 临汾
2062908203,pualeirk,普通用户,37,9,29,其他
1265648650,孟瑶-舫主梦非梦,普通用户,621,1315,3325,江苏 扬州
1401698791,周熙律师,普通用户,336,264,1773,上海
1348648343,温柔小月,微博达人,631,440,507,山西 临汾
1961876484,清新先森,普通用户,281,157,115,山西 临汾
1768763012,爱为心上锁,普通用户,958,668,755,山西
2267785603,珂珂部落,普通用户,435,192,80,山西 临汾
1916884423,行動書店,普通用户,2216,2800,3354,海南 三亚
2367690297,英国王妃知多少,普通用户,1794,2024,377,湖北
1324881663,陈锦云,微博达人,1987,2448,1515,江苏 泰州
1242178350,玻璃上亲嘴急死人,普通用户,2000,997,3400,山西
1791699607,顾梁仓9168,普通用户,306,49,698,山西
1667219021,鸽子飞飞过,普通用户,266,217,601,山西 临汾
2399414083,ilim8882399414083,普通用户,582,131,1001,其他
2395232441,木瓜2395232441,普通用户,86,9,2,其他
2442652194,侠士有志,普通用户,9,2,2,湖南 益阳
1302242492,肖芷彤,普通用户,542,158,277,山西 临汾
1744895391,大学生联盟旅行,普通用户,669,398,809,山西 临汾
1621780552,雪原浪子9420,普通用户,83,65,184,山西 临汾
1680061973,牛就得逼吗,微博达人,470,1807,8314,天津 东丽区
1725118215,YY与JJ,普通用户,69,62,176,山西 晋中
1192882784,太史政,普通用户,797,1222,578,上海 杨浦区
1682894734,水晶镜子,微博达人,1111,578,551,山西 临汾
1746868724,老鹰博士,微博达人,869,5847,3307,湖北 武汉
1679536503,大牛1989,微博达人,405,716,919,山西 临汾
1963259937,koipp,普通用户,26,17,17,甘肃 兰州
1998262777,我违法了,普通用户,1545,1423,0,浙江 温州
1967644711,尤傲涵,普通用户,89,26,12,山西 临汾
1261635852,孙果贝尔爱慈善,普通用户,317,495,2975,山西 临汾
1242253655,daoshengcun,普通用户,41,53,138,四川 内江
1924850197,请进119,普通用户,56,44,28,山西 临汾
1191728035,彼岸之南,微博达人,160,1306,2835,山西 太原
1911426625,幸福神话2011,普通用户,67,18,4,山西 临汾
1895551661,趣味地理,普通用户,29,90,119,山西 临汾
1562194217,杜以朋,个人认证,820,6914,1740,北京 海淀区
