uid,user_name,verifiedType,following,followers,statusCount,location
3020487625,销魂水雨彬,普通用户,506,40,80,广东 惠州
3056060501,心雨201266,普通用户,17,6,8,山西 临汾
1961876484,清新先森,普通用户,281,157,115,山西 临汾
1799396751,云想念ing,普通用户,977,295,571,山西 临汾
1889957975,世道坏嘞,微博达人,451,516,866,山西 临汾
2673844391,中中自乐,普通用户,1342,1243,2978,云南 保山
2094103447,TOT蘾篺芞Oo,微博达人,329,139,354,山西 临汾
2751290201,期待尘封,普通用户,316,117,295,山西 临汾
1787404225,一个有爱的小胖纸丶,微博达人,221,182,88,山西 临汾
2480626357,问道俗世,普通用户,307,111,120,山西 太原
2874759722,平凡人1985彭国亮,微博达人,886,296,76,山西 临汾
2806797625,YM-G,普通用户,317,73,67,山西 临汾
1748959205,Sulla_,普通用户,298,140,168,山西 临汾
2129136181,郭斌同学,微博达人,612,245,38,山西 临汾
1323120310,灵通资讯家居编辑,微博达人,1999,574,2694,山西 运城
1671818557,DJenna,微博达人,542,376,5376,海外 英国
1822059013,我们爱临汾,普通用户,1926,751,1473,山西 临汾
1687477892,山西提督,个人认证,573,2504,5735,山西 临汾
1079503740,捕快没差银,普通用户,194,131,141,山西 临汾
2514399835,林海傲雪,普通用户,959,299,885,山西 临汾
1560598297,人呐潇洒,普通用户,134,35,33,山西 临汾
2261519137,取次花丛懒回顾_半缘修道半缘君,普通用户,230,150,566,山西 临汾
1695716040,傲雪灬寒梅,普通用户,206,258,572,山西 临汾
2796416967,天空的色彩是蓝吗,普通用户,291,1069,47,山西 太原
2739792622,阿狸先森lalala,微博达人,432,4568,1589,辽宁 锦州
2651465891,静静的天蓝色,微博达人,203,273,615,山西 临汾
1693964023,雪山之巅love,微博达人,498,760,513,山西 临汾
1397289234,尐達,微博达人,186,370,1370,山西 临汾
2172990675,SH-Holmes,普通用户,111,400,737,山西 临汾
1011357830,-无心病人,普通用户,160,39,131,山西 临汾
2157875111,音乐太刺耳,普通用户,134,190,42,山西 临汾
