uid,user_name,verifiedType,following,followers,statusCount,location
2789877633,山西煤销-临汾,普通用户,17,41,12,山西 临汾
1903824947,牛雅犇,普通用户,261,119,114,山西 临汾
1340387545,网络新闻拍客,个人认证,222,1354,730,山西 临汾
2261168107,临汾领秀传媒,普通用户,1971,7826,1303,山西 临汾
3045719087,临汾汽车网01,普通用户,146,35,42,山西 临汾
2470786494,吴三有点小混乱mess,普通用户,72,52,89,湖南 岳阳
2092196477,__陈欣_,微博达人,185,380,1164,山西 临汾
1656253512,陈赟,微博达人,122,398,173,山西 临汾
2607584970,妖精梅西,个人认证,65,586,47,山西 临汾
3092859651,吐槽北京2B商家,普通用户,12,14,5,北京 东城区
2265885213,臻石文化传媒,机构认证,788,12720,740,吉林 长春
2536400511,笑得很荡,普通用户,254,11681,112,山西
2656016772,帝王斗鬼,普通用户,213,66,77,山西 临汾
2509469070,夜焰_,个人认证,48,502,360,山西 临汾
1925194013,微博肖伟,微博达人,346,261,300,山西 临汾
2556733732,山西临汾刘四毛,普通用户,421,195,632,山西 临汾
3065670081,临汾房产圈,普通用户,128,33,26,山西 临汾
1957629564,忘川o0o,微博达人,162,862,6325,山西 临汾
1738959577,郭楷楠,微博达人,1688,4030,9591,山西 临汾
1375307320,沃地寒士,个人认证,571,1822,4573,山西 临汾
2771014317,山西师大236爱心社,普通用户,358,114,273,山西 临汾
1256982025,临汾水良白,微博达人,1862,2573,9087,山西 临汾
2040916125,吕昱烨道家养生,微博达人,1901,5281,2093,山西 临汾
1910532935,开心元青花,普通用户,1976,1452,3183,山西 临汾
3065665375,临汾微生活,普通用户,319,224,168,山西 临汾
1261635852,孙果贝尔爱慈善,普通用户,317,495,2975,山西 临汾
2377514393,沐沐小熊,普通用户,109,141,297,山西 临汾
1846482620,临汾-露胖,微博达人,303,6395,1849,山西 临汾
1315416243,山西临汾人姚建,微博达人,163,237,492,山西 临汾
1288564240,艾米粒9880,普通用户,173,63,28,山西 临汾
2616780993,临汾恒安新东城,普通用户,298,176,177,山西 临汾
2279611575,Sweety高艺轩,微博达人,299,2566,546,山西 临汾
2446921704,临汾博爱生殖医学医院,普通用户,80,133,279,山西 临汾
1642630330,ooof,微博达人,524,1653,3876,北京 朝阳区
1286481184,临汾-阿栗,普通用户,83,21,153,山西 临汾
2350850973,贺云峰要开心,微博达人,184,275,216,山西 临汾
1908880627,临汾黄正东,普通用户,626,592,951,山西 临汾
2985401303,临汾恒大华府,机构认证,138,74,16,山西
2629461350,心理咨询师-李軍,微博达人,298,140,524,山西 临汾
1323014864,那岂不,微博达人,345,118,327,山西 临汾
3003538503,临汾都市农夫,普通用户,1549,405,243,山西 临汾
1855839632,临汾萧萧,普通用户,439,88,467,山西
1669655544,升腾的海水,微博达人,1998,2849,3477,山西 临汾
2108816370,huangtc0089,普通用户,164,174,476,山西
2904905907,山西刘烨影视,普通用户,40,32,76,山西 临汾
2680600182,郭海滨_,普通用户,432,105,114,山西 太原
2523733874,民间专反公检法腐败协会,普通用户,1081,930,227,山西 临汾
2448600533,一汽-大众临汾银光4S店,机构认证,1248,2292,892,山西 临汾
2980914241,手机用户2980914241,普通用户,24,2,2,其他
2458031237,华门苑0001,普通用户,15,3,12,其他
1854767760,临汾田丰,普通用户,235,244,28,山西 临汾
2234784307,Happy哥滴爹,普通用户,128,214,854,山西 临汾
1634264422,臻石de大圣,普通用户,350,10840,144,海外 蒙古
2823751491,运城论坛001,机构认证,641,184,314,山西 运城
2279152263,上党申晓峰,个人认证,332,130,140,山西 长治
1854791120,翼城小孔,普通用户,350,353,1038,山西 临汾
1250593260,孙进军,个人认证,490,1206,88,山西 大同
2749683685,爱唱歌的闷葫芦,普通用户,894,751,129,山西 大同
1939649380,天下同根,个人认证,136,308,104,山西 临汾
1233522544,长春饭店小奶油,普通用户,2695,175724,3550,吉林 长春
2648852354,小小小孙_dreamer,微博达人,248,154,608,山西 临汾
1912034355,大美女小乔,普通用户,84,356,2432,北京 朝阳区
1143639573,郭行杰,普通用户,246,14840,1289,山西 临汾
1784691121,万信拍卖,机构认证,167,267,134,山西 临汾
2618730634,临汾安泽共青团,机构认证,109,159,6,山西 临汾
2825933807,李俊刚,个人认证,1216,1085,1840,山西 临汾
2618730630,临汾翼城共青团,机构认证,156,262,235,山西 临汾
1687477892,山西提督,个人认证,573,2504,5735,山西 临汾
1716387171,临汾牛人帮唐瑶,普通用户,429,238,1118,山西
2683251103,临汾蓝天救援队,普通用户,286,287,83,山西 临汾
1188009993,山西卢斌,个人认证,927,3007,841,其他
1937944171,奔驰临汾之星4S店,机构认证,324,1057,1123,山西 临汾
1822059013,我们爱临汾,普通用户,1926,751,1473,山西 临汾
1904121233,临汾联通,机构认证,1306,3041,3837,山西 临汾
1854612430,临汾联花,普通用户,1998,6177,3143,山西 临汾
1645338444,吉建国的微博,个人认证,199,117,571,山西 临汾
1572186091,张莹超,个人认证,749,409,178,山西 临汾
