uid,user_name,verifiedType,following,followers,statusCount,location
2803415930,只想安静的死去v,普通用户,539,161,6,上海
2858996010,淘宝运营经验共享,普通用户,727,104,54,陕西 西安
2600283832,奇瑞车友,普通用户,1661,13938,4802,北京
2911045525,正腾123,普通用户,74,2,5,山西 临汾
2512866345,职场v风云,普通用户,1403,1647,2766,广东 广州
2826175061,中视鸿影北京数字科技有限公司,普通用户,1994,246,266,北京 海淀区
2807376973,马腾飞_河津腾飞瓷砖,个人认证,422,356,45,山西 运城
2806794110,CCTV14,普通用户,459,114,245,山西 运城
2287192814,奸笑的毛毛虫,普通用户,1996,450,182,广东 广州
2813731033,LED发光广告招牌,普通用户,60,7,0,广东 深圳
2949885942,鄙人靠谱的jade,普通用户,124,45,12,广东 深圳
2683414645,善良的彭文武,普通用户,1999,598,287,湖南
1855804210,临汾鲁松,普通用户,274,770,17183,山西 临汾
2855767821,京东团临汾,普通用户,155,13,1,山西 临汾
2469145507,伊仪梅君462,普通用户,1997,528,25,湖南 永州
2504673173,王王王王王王王王王王壮,微博达人,586,213,91,山西 临汾
2946407964,辉到明天,普通用户,150,3,3,山西 临汾
1919985921,捏捏自己的耳朵,普通用户,396,55,14,山西 临汾
3003538503,临汾都市农夫,普通用户,1549,405,243,山西 临汾
1659176474,合肥车友网_r60,普通用户,6,3,40,海外 越南
2761786863,临汾文之星教育,普通用户,225,58,65,山西 临汾
2458722397,手机用户2458722397,普通用户,392,109,6,江西
3058526305,黏人的小猪猪,普通用户,180,21,4,山西 临汾
3035579735,忘殇丿To流年,普通用户,95,17,1,山西 晋中
2985401303,临汾恒大华府,机构认证,138,74,16,山西
2841851494,收割幸福-的2,普通用户,1380,902,587,海外 芬兰
1854780934,手机用户1854780934,普通用户,63,58,14,山西 太原
3056060501,心雨201266,普通用户,17,6,8,山西 临汾
3076068507,运城扬帆,普通用户,148,2,5,北京 东城区
3014014105,手机用户3014014105,普通用户,634,82,47,海外 丹麦
3082465133,琦贝贝2010,普通用户,37,3,0,山西 临汾
2919399810,,普通用户,364,15,201,其他
2803326300,honey常陆院馨,普通用户,502,30,365,其他
1440674812,sweet飞鸾,普通用户,611,52,331,黑龙江 哈尔滨
2996638337,嗨迷药,普通用户,4,2,15,北京 东城区
2788505071,hai海缃艏,普通用户,57,20,10,河北 唐山
2634747341,纪宝贝--,普通用户,271,265,639,天津 河东区
2103835957,啊哦me在线,普通用户,1973,1041,315,山西 临汾
2974034160,姑娘住在少林寺6,普通用户,0,0,1,湖北
2974005080,从那一天起2012fim,普通用户,728,207,27,山东
1315416243,山西临汾人姚建,微博达人,163,237,492,山西 临汾
1512832294,终端网购服务门户--微互网,普通用户,1857,2177,227,山西 临汾
2864931654,运城搜搜团,普通用户,547,188,155,山西 运城
2831553854,东方园林-领秀中国,机构认证,754,12315,634,北京 朝阳区
2028351682,庭hao的春天,普通用户,192,145,325,甘肃 兰州
1885733632,灵通资讯冯丽,普通用户,191,286,283,山西 运城
2023589054,灵通资讯汽车编辑,普通用户,208,169,318,山西 运城
2363840624,运城看房网,普通用户,505,344,125,山西 运城
1278370064,百汇传播-张铭峰,个人认证,881,13789,563,北京 昌平区
1772848765,Laowang,普通用户,133,65,69,山西 运城
1689654621,胡博就是胡博,微博达人,767,1027,1122,山西 运城
1879084081,灵通婚恋-姚军燕,普通用户,1971,2110,4764,山西 运城
1245992051,设计好个王亮V,微博达人,1363,1314,2228,山西 运城
1142694901,LOVE鸿儒,普通用户,210,118,188,山西 运城
2428943037,刘凯龙198916,普通用户,188,32,51,山西 运城
1939533542,灵通资讯杨霞,个人认证,450,1424,1771,山西 运城
1866585307,还是雨田,普通用户,361,165,84,山西 运城
2425771893,侯红亮1980,普通用户,437,45,103,山西 运城
2003159823,儒子啊,普通用户,549,396,657,山西 运城
2410949957,北京现代运城泽龙店,机构认证,1917,434,104,山西 运城
1263145481,星火灯手,普通用户,288,83,139,山西 运城
2262638687,家笔,个人认证,496,998,1055,山西 运城
2464717305,法治扫描,机构认证,1250,2138,1987,山西 运城
2114307002,河津网,普通用户,265,212,2225,山西 运城
2680490911,淘宝兼职天猫网络,普通用户,673,448,179,广东 东莞
2007094620,运城校园,微博达人,1986,1812,2385,山西 运城
2124894663,长安汽车山西运城通达4S店,普通用户,237,145,17,山西 运城
1357838857,山西河津阳光单车俱乐部,普通用户,592,330,447,山西 运城
2479149407,伍加伍摄影杨琳,普通用户,231,161,182,山西 太原
1234390820,康杰二中语文组,微博达人,596,1320,4379,山西 运城
1263895351,郭康_,微博达人,1976,1230,1752,山西 运城
1608969167,光速网络張,个人认证,749,14133,2283,山西 运城
1749676970,心想的繁华,微博达人,324,474,1403,山西 太原
2107352941,管喻,个人认证,586,1193,428,山西 运城
2140569147,郭小厮,普通用户,853,302,353,山西 运城
2402613481,运城宝诚宝马店,机构认证,1312,731,1736,山西 运城
2595064810,云飞扬d,普通用户,598,124,171,山西 运城
2703037294,幸福的皮肉肉,普通用户,304,106,148,山西 运城
2675439583,中国--河北利安驾校,机构认证,932,197,55,河北 石家庄
2250651583,丶海市蜃楼999,微博达人,1019,507,477,山西 运城
2299578481,夙夙夙愿,微博达人,365,268,212,山西 运城
2155703357,运城牵手婚庆礼仪策划,普通用户,529,185,68,山西 运城
2081126585,太原大昌雷克萨斯,机构认证,1971,3665,4053,山西 太原
2247642713,运城李高武,普通用户,741,363,124,山西 运城
2648181261,MAXUS大通-山西彩虹,机构认证,230,135,73,山西 太原
1775236481,阿丁哥,普通用户,447,303,377,山西 运城
2727892863,运城桑尼英语教育,普通用户,1142,789,657,山西 运城
2730330667,PICC芮城人民保险,普通用户,112,24,16,山西 运城
2263517863,装B也要低调,普通用户,468,99,167,其他
2048448467,运城一汽马自达,普通用户,259,315,310,山西 运城
2699324017,河津联通文苑营业厅,普通用户,123,61,86,山西 运城
2265281181,政府法制杂志社李武科,普通用户,616,195,1068,山西 太原
2617951181,山西中汽贸联一汽-大众4S店,机构认证,437,1875,762,山西 太原
2605098035,陌年的QQ,普通用户,124,105,66,山东 烟台
2763442861,运城罗门婚纱,普通用户,981,1077,1348,山西 运城
2771832805,思成易购,普通用户,111,69,54,山西 运城
1830541655,赵梓先赵梓先,普通用户,626,428,345,山西 运城
1756978047,梦想家冯莉,普通用户,124,129,102,其他
1608544993,运城车行网,普通用户,514,308,114,山西 运城
2871131073,逝去的年华流水,普通用户,1923,459,28,江苏 常州
2748409102,白纱糖摄影会馆,机构认证,1203,14101,726,北京
2805546954,人类总动员,普通用户,1985,626,1429,广东 深圳
2818484513,一切都是浮云2013,普通用户,140,11,17,河北 秦皇岛
2715386611,崇尚-正义,普通用户,1447,456,1323,上海
2754726021,千杯罪m,普通用户,860,118,1,宁夏 石嘴山
1567389791,临汾在线门户网,普通用户,216,146,76,山西 临汾
2834043884,danganyo49625_2c13c9,普通用户,223,12,1,广西 贵港
2834013990,zhiyud2912_95954b,普通用户,222,16,1,青海 海东
2160681641,媒介网官方微博,机构认证,492,2002,2051,北京 朝阳区
2787968134,婧么婧pyx,普通用户,1686,1432,1313,湖北 宜昌
2753815905,追忆笑生活,普通用户,106,20,7,山西 临汾
2138229464,语雙婕格,普通用户,1811,2085,6930,海外
2753266725,3293745gzf,普通用户,69,3,1,山西 临汾
1854749390,安泽联通-沃3G,普通用户,404,337,350,山西
2418587093,子慕_宇飞酱,普通用户,183,311,527,山西 太原
1854669152,__zZ__zZ,普通用户,694,452,1148,山西 临汾
1481241085,FM107赵晋伟,个人认证,392,354,117,山西 太原
2167591935,广州市唱起来汽车影音体验中心,机构认证,1726,1253,1047,广东 广州
2825805604,丫头_时光风靡的那些旧背影,普通用户,32,70,98,山西 大同
2660470455,联合麦斯博文,微博达人,1412,626,1657,海外 加拿大
2641475042,国合快车汽车服务连锁,机构认证,1149,11457,687,湖南 长沙
2747766253,1239438203_f5ddb4,普通用户,75,2,2,山西 临汾
1946204037,广西小河涓涓,个人认证,1397,1003,166,广西 柳州
1830354577,东方望梅,普通用户,1990,21201,486,北京 丰台区
1660202614,贝你你喔,普通用户,105,24,20,山西 临汾
2170887315,厦门美食小吃,普通用户,961,10575,0,福建
