uid,user_name,verifiedType,following,followers,statusCount,location
1760850021,黑豆刨冰,普通用户,56,9,5,山西 临汾
2088924955,小蟹男,普通用户,59,81,161,山西 忻州
1855888960,方WO糖,微博达人,427,369,553,山西 临汾
1838991197,遍地荷尔蒙泛滥,普通用户,93,32,42,山西 临汾
2280676531,Emery-color,普通用户,113,17,59,山西
2275075847,选择性困难症,普通用户,49,10,258,山西 临汾
2179879605,龙成骑士,微博达人,1895,927,1244,陕西 西安
1730941975,风雨雪露,微博达人,283,1039,4876,陕西 西安
2247207621,果果or猪猪,普通用户,131,35,91,山西 太原
1960148077,统一满汉大餐,机构认证,1984,7112,644,上海
1157084802,音调在悬崖-,普通用户,1121,511,240,山西 临汾
1266609244,幸福的刘胖纸,普通用户,40,799,1510,山西 临汾
2075297751,韩梓修,普通用户,594,1123,11809,山西 临汾
1855827902,临汾麦穗,普通用户,193,271,903,山西
1474639243,女C_C子,普通用户,134,43,175,广西 玉林
2073372054,太原大南门3G辅导中心,普通用户,905,6718,3875,山西 太原
2183198875,浪尖开花,普通用户,232,146,31,山西
2187321851,糖豆豆豆豆包,普通用户,80,15,66,海外 俄罗斯
1594781055,Z佳年华,普通用户,201,92,4170,山西 临汾
1743346885,萝莉女干部,微博达人,263,804,3371,山西 临汾
2166377931,aya大小s通吃,普通用户,1749,1784,416,山西 太原
1855787462,风驰电掣的牛车,普通用户,1035,495,2479,山西 临汾
1964791403,宁静的繁荣,普通用户,219,221,945,山西
1694984354,sunny_葵儿er,微博达人,543,443,804,北京 朝阳区
2108036032,勤劳的天使在笑,普通用户,260,220,2032,浙江 嘉兴
1851023967,小哥阿红,普通用户,5,33,51,北京 海淀区
2198542245,琳琳90928,普通用户,45,18,31,山西 临汾
1613162311,刘易铭匀,普通用户,1368,880,391,山西 临汾
1134168047,雨点的雨点,普通用户,32,18,17,山西 临汾
1854590750,我本善良77521,普通用户,347,224,98,山西
2085672305,有容乃大2085672305,普通用户,36,15,26,山西 临汾
2164283662,许扬慧子,普通用户,1945,361,211,山西 太原
1785479782,-马骏,普通用户,118,495,1170,山西 临汾
1713652363,小幸福Emily,微博达人,580,442,1588,山西 临汾
1940688095,立彤87527,普通用户,101,714,1478,山西 临汾
2090778061,可爱的龙龙2090778061,普通用户,4,2,7,山东 济宁
2163091104,麦迪娜丽,普通用户,112,23,13,其他
1854718082,冯淘淘Jim,普通用户,416,127,104,山西
1854801352,尧通,普通用户,158,184,81,山西 临汾
1230915832,临汾装饰家具行业协会,普通用户,373,581,376,山西 临汾
1913854777,蔡小豆丶,微博达人,0,0,0,山西 临汾
1289805122,一花一世界yyj,普通用户,334,5461,1565,北京
