uid,user_name,verifiedType,following,followers,statusCount,location
2628992213,jiaziruyi,普通用户,203,69,374,山东 青岛
1633986774,管小伟黄花菜官网,机构认证,1573,4281,1818,湖南 衡阳
2467540575,全球华语小说大系,机构认证,624,2982,1365,北京 朝阳区
2230541023,大漠风影1107,普通用户,23,14,26,山西 临汾
2692988203,杂谈五味,普通用户,2941,39922,20651,上海
1805164712,-安寻,普通用户,32,53,13,北京 朝阳区
1737956940,太原人论坛网,机构认证,1872,104909,10075,山西 太原
1697666485,尧乡的兵子,微博达人,726,927,4162,江苏 淮安
2367559881,IRIS美儿,个人认证,1896,563928,128,山西 临汾
2503311062,晋商卡本,微博达人,395,530,1907,山东 济南
2982910451,临汾声音,普通用户,35,0,1,山西 临汾
2775978865,阳光校园追星梦,普通用户,201,64,12,山西
1435684082,冯晓潇,微博达人,748,672,1388,天津 西青区
1195299925,音乐学人,微博达人,1773,9685,18652,山东
2752894083,黄河新三角,普通用户,982,1640,428,北京 丰台区
2422663915,品上说说,普通用户,270,11760,1007,海外 新加坡
1340587115,春风-里,个人认证,530,64013,1506,黑龙江 哈尔滨
1871971573,Wernet-Weist,普通用户,82,55,496,广东 广州
2094331660,雨雾冰霜,微博达人,219,145,474,山东 青岛
1809328482,良风阁,微博达人,236,2741,299,广东 揭阳
1403742220,鞭具蛋挞耀一,个人认证,723,19360,3227,江苏 南京
1866371027,仪偌,个人认证,345,4133,1581,上海
2921787233,临汾红丝带学校,普通用户,1039,294,51,山西 临汾
1798718337,广州妙辉,微博达人,2804,2684,4909,广东 广州
1636216052,清骨梅,微博达人,446,664,2724,天津 东丽区
2161819805,南岛一孤鸥,普通用户,757,1409,921,海外 澳大利亚
2678108357,小新TA哥,普通用户,254,33,1374,北京 东城区
1831607204,嗬dadadada嗬,普通用户,482,1300,8113,其他
2313523523,山东梅子的微博,普通用户,935,83,706,山东 泰安
1869684851,王凯-临汾之星,微博达人,216,741,2181,北京
2704294855,朱华伟_临汾之星,普通用户,54,50,16,山西 临汾
1757669913,谢文婷-临汾之星,个人认证,612,1058,629,山西 临汾
2255354951,耕田的人--临汾之星,普通用户,200,147,388,山西 临汾
2515640942,西风紧黄花地,普通用户,120,71,85,河南 商丘
2402432114,才女lida,普通用户,680,317,2057,江苏 南京
2800843241,去逛街临汾站,普通用户,161,12,35,山西 临汾
1816654135,天缘剧本,普通用户,822,1191,13001,重庆 江北区
2805532973,临汾彬彬,普通用户,1,1,0,山西 临汾
2805539417,临汾斌斌,普通用户,2,1,0,山西 临汾
2668470771,编剧彭军卫,个人认证,1865,22876,1362,北京 朝阳区
2053577203,知足为足,微博达人,190,166,2252,安徽 宣城
1248399242,hatty0712,微博达人,334,1575,5487,山西 晋中
1218449687,海韵云影,普通用户,316,80,6601,广东 广州
1695737644,悟能戒,微博达人,1208,333,1080,辽宁 营口
2876414424,流星霞520,普通用户,5,2,0,湖北 黄石
1345779060,予独爱莲66,普通用户,3,14,5,山东 济南
2803462491,时空602,普通用户,2,1,0,山西 临汾
2803295333,秋之枫5,普通用户,5,1,0,湖北 宜昌
2569226321,天使爱洋妞,普通用户,40,2,3,北京
2876458994,白茶_2012,普通用户,11,2,10,福建
1741858454,容景儿,微博达人,1986,2869,2687,广东 广州
2894387533,别让我一个人醉6761,普通用户,2,1,2,山西 临汾
2802071787,诗人于翔,普通用户,56,9,4,山东 青岛
