uid,user_name,verifiedType,following,followers,statusCount,location
1764811142,中原枪手,个人认证,471,1410,825,河南 郑州
1769231705,李成刚,个人认证,385,12952,5470,北京 朝阳区
1271062394,读书野人,个人认证,1825,5008,11432,北京 朝阳区
2036719557,金航郭海生,个人认证,402,3189,2578,北京
1354078681,作家金满楼,个人认证,1975,18004,6163,上海 宝山区
2787192811,孙铁1972,个人认证,503,1211,3293,北京
2662780421,乔氏玫瑰,微博达人,2866,1423,10580,广东 广州
1426476284,主持中国,机构认证,822,2359,623,辽宁 沈阳
1896730867,张伟8688,个人认证,677,2313,5568,北京 丰台区
1279806283,鼓手张洪岩,个人认证,1997,3541,4222,北京 通州区
2098755275,死翼耐萨里奥,个人认证,1599,1261,3639,北京 海淀区
2142568935,李康松先生,个人认证,510,42641,1554,广东
2119024627,施凯-凯歌,个人认证,991,1618,1803,上海
1676862314,Tornado1113,微博达人,1657,1012,0,北京 朝阳区
1461381687,邢旭东,个人认证,1620,2280,666,北京
1191780022,王昭翬,个人认证,980,12839,1714,北京 海淀区
1962007565,lxd34842,个人认证,1796,1212,6778,北京 西城区
1814247141,薛湛,个人认证,387,1342,1326,北京
1892359514,张之俭,个人认证,1718,12076,18154,湖南
2905488643,德通王永增,个人认证,2945,7008,999,河南 郑州
1762999383,张世昌山西,个人认证,1516,1190,1697,山西 太原
1409270504,杨于泽,个人认证,434,2464,3089,湖北 武汉
1559648247,廣州蕭建民,个人认证,1013,1805,17958,广东 广州
2074284580,流觞不诉离殇,个人认证,623,1522,4933,河南 开封
2580330641,土夫元顺,个人认证,391,2834,47,上海
1406929347,虎娃闹龙城,个人认证,394,1370,4311,江苏 常州
2139951913,花贵侃,个人认证,1314,2822,8112,江苏
2008721711,曹兄孟德,个人认证,441,3977,1982,湖南 长沙
2178660454,王亮190,个人认证,1499,16751,1096,江苏 苏州
2520683090,张家港自驾达人王学明,个人认证,2970,36502,17655,江苏 苏州
1250342195,随风而去1980,个人认证,989,11555,2027,北京
1465293124,上官鹄,个人认证,1140,2536,2644,北京
2135407545,陈瑞律师,个人认证,1988,3510,16774,江苏 无锡
1784420142,焕彩的奕舞,个人认证,673,1606,14561,上海 长宁区
2642793321,林仁聪律师,个人认证,1774,1386,2132,广西 南宁
1407792312,梁香禄律师,个人认证,1970,13747,11366,广东 广州
1573045237,朱雪娇,微博达人,1093,2472,7233,安徽 芜湖
1787406545,fusm2012,个人认证,327,4215,3882,北京 朝阳区
1632956383,王东驰,个人认证,667,1159,4800,北京
1366454857,默然B-angel,个人认证,1090,4421,4184,江苏 苏州
1835421835,吴海伯,个人认证,763,1709,6598,山东 烟台
1951403864,陈2曦,个人认证,1995,4680,16448,北京 朝阳区
2788094952,合肥陈律师,个人认证,1999,2333,3172,上海
1403583242,随意的行走着,个人认证,472,816,2947,云南 昆明
2079707765,鲁豫平2011,微博达人,1725,3098,1840,河南 郑州
1884017960,FionaFarid-哗,微博达人,523,16708,7030,其他
1294230333,心斋彭旭,个人认证,1031,8498,1045,北京 西城区
1348991701,crosslas,个人认证,817,1791,12122,上海 徐汇区
2315466092,静夜思-繁星一点,个人认证,538,1150,2851,安徽 亳州
1856818560,刘如冰-SOHO中国,个人认证,1217,1846,10104,上海 长宁区
1434170697,阿聪kcliao,个人认证,707,4722,6002,福建 福州
1871331697,毒蝎Air,个人认证,637,1168,5549,重庆 江北区
1574177241,展翅高飞1985,个人认证,1329,2140,13357,广东 深圳
1451905915,鲁人王进文,个人认证,1124,16711,1524,北京 海淀区
2217295642,搜食网,机构认证,1497,2914,1374,广东 深圳
2351735115,大校新传,个人认证,658,2675,3899,北京 朝阳区
1772806433,soniar,个人认证,441,3245,874,新疆 乌鲁木齐
2508008602,谢阳律师911,个人认证,832,1520,5186,湖南 长沙
1666657435,财经陈润,个人认证,668,4226,3104,北京
1300654553,嘎子爱红酒,个人认证,1985,3807,9511,广东 深圳
1736796280,那娜Barbie,个人认证,345,1936,1369,北京 丰台区
1908970393,公民学堂,个人认证,990,1707,4859,北京 海淀区
1218632864,释仁散仙,个人认证,542,1529,4561,上海 浦东新区
1564377341,第5金融,普通用户,1973,3927,5906,浙江 杭州
2649006117,_七划_,个人认证,1870,9822,29336,内蒙古 兴安盟
80128128,东篱下-满秋,普通用户,968,2298,2738,浙江 嘉兴
1805720422,彭志贤,微博达人,1681,4215,17963,福建 泉州
1585507682,李庆Lee,个人认证,1758,556,1392,广东 广州
2683426445,山西刘江,个人认证,298,1471,308,山西 太原
1033212031,导演高晓舰,个人认证,1767,24863,9217,其他
1621772865,段永朝,个人认证,709,13484,10114,北京 海淀区
2726943133,四裤全输521,个人认证,2002,4011,671,河南 南阳
1741993172,郭庆光_天声人语,个人认证,1363,236938,1548,北京 海淀区
2335708183,教育报-秀江,个人认证,621,2531,1364,北京 西城区
2311789371,一路通_北京联通,微博达人,1509,1001,9009,北京
1990969227,刘济川导师,个人认证,1984,105614,6443,广东 东莞
1045228324,江右,微博达人,983,2348,15276,福建 厦门
1671386130,京城醒狮,个人认证,1670,31643,323,北京 朝阳区
2434626487,田舒关注,个人认证,926,1713,3876,北京 东城区
2371617703,思想汇聚人生,普通用户,2554,56925,5346,北京
1854691350,李传缨,个人认证,444,1461,830,上海 静安区
1875678415,朱长振,个人认证,1406,3587,4766,河南 郑州
2062234727,无影尊者lf,微博达人,208,556,2002,河南 安阳
1498276332,惠通嘉华李兴勇,个人认证,1329,1024,4431,浙江 杭州
1715304694,丝丝79,个人认证,476,1576,10563,广东 广州
1663674404,笑谈管理,个人认证,677,158799,1967,北京 朝阳区
1105754847,RCO管涛,个人认证,385,927,539,安徽 合肥
2802597660,瀟灑龍哥,个人认证,884,41009,1612,上海 黄浦区
1229136784,金子art,个人认证,1317,10864,1191,北京 顺义区
1180665752,吴泽宇PazzOlivo,个人认证,1933,3439,10624,浙江 杭州
1709565651,是兆新,个人认证,848,5080,7174,北京
1649032862,张志-tree,个人认证,1238,39672,1845,北京
2164259663,最热品牌排行榜,普通用户,1949,28380,5420,上海
2532983145,荣邦瑞明老李,个人认证,643,2390,2570,北京
2814028695,闽南石头哥,微博达人,1116,12075,3981,福建 泉州
1043170425,CooL鱼,个人认证,1557,10908,11871,福建 泉州
1609732297,张需聪律师,个人认证,2250,23081,2133,北京 东城区
2300760760,三峡老鹰,个人认证,444,10892,2751,湖北 宜昌
1280777765,尚可美食,个人认证,409,22739,6856,山东 青岛
1787759310,耋翁,普通用户,1204,509,1309,山东 济南
1662270517,王文学微博,个人认证,1984,21023,9382,广东 深圳
2185611751,刘嵘辉,个人认证,1963,14672,2937,湖北 武汉
1269072311,民不畏死-奈何以死惧之,个人认证,1759,2975,3219,河北 石家庄
1835094633,鲁祥东律师,个人认证,238,1517,5735,安徽 马鞍山
1959161813,黑龙江晨报梁伟,个人认证,250,3610,619,黑龙江 哈尔滨
1035938010,书法家刘健,个人认证,1967,2423,4299,山东 青岛
1936617087,禚洪梅,微博达人,1096,19763,9797,陕西 西安
2992829497,李俊鹏365,普通用户,29,10,61,山西 临汾
1510619033,木尔,个人认证,1471,42643,12165,广东
2322800600,李国生记者,个人认证,1603,19437,8945,北京 朝阳区
1404232085,词作家曾鸣,个人认证,1172,25269,22756,广东 广州
2330079750,成都雷邦,个人认证,2970,250770,6255,四川 成都
2141760997,南都广州,机构认证,1752,434003,9145,广东 广州
2030932207,许石兰,个人认证,1639,3348,3338,贵州 贵阳
1198794441,宁波exceed007,个人认证,804,1758,7440,浙江 宁波
1264446300,画家张安,个人认证,1964,5037,8698,安徽 蚌埠
1924667787,康大妹子,个人认证,318,2049,3847,北京 海淀区
2298346224,田俊锴,个人认证,510,1899,850,海南 海口
1898255205,俑哥008,个人认证,1689,202959,20325,上海
1693617260,墨香剑气,个人认证,647,1524,2429,浙江 宁波
1109844155,基金李琛,个人认证,464,1601,3146,北京
2082065587,李文骅,个人认证,2000,1982,14896,广东 江门
2462196395,王广滨,个人认证,783,12980,1431,山东 烟台
2438523200,always浪,个人认证,1995,222715,3611,浙江 杭州
1637946815,容斋随笔谈,普通用户,1819,15688,3945,湖南 长沙
1415008367,肖青衫,微博达人,637,2426,11085,山东 青岛
1830107725,张步洪,个人认证,665,1508,2512,北京
1856662065,史努比_吴,个人认证,548,11080,1402,四川 成都
1909783662,黄光伟,个人认证,548,3649,4423,北京
1490032103,展先生_KevinZ,个人认证,576,822,2389,北京 丰台区
1259263021,深圳律师余刚,个人认证,428,1141,3386,广东 深圳
2166814700,陆俊333,个人认证,1936,3611,7292,江苏 扬州
1890522820,張漢瑋,个人认证,649,1346,2271,广东 佛山
1240041920,没有重名-刘忠涛,普通用户,770,213091,14313,北京 朝阳区
1802037672,结婚小岛岛主-钻饰,个人认证,2249,40904,21757,上海 黄浦区
1881029280,留溪君彦,个人认证,1914,5064,28138,上海 金山区
2038333704,言不邪,微博达人,1988,2822,6752,江苏 苏州
1979077181,深圳刘深,个人认证,2038,2972,5449,广东 深圳
2203724725,孙_伟光,个人认证,653,17176,4009,北京 丰台区
2544162414,张启明v,个人认证,2229,133928,7470,上海 嘉定区
2122615351,李俊晓,个人认证,1387,3387,3638,河南 郑州
2010510873,蔡磊8011,个人认证,743,861,3633,河南 郑州
2582979835,劲释张孝东,个人认证,1933,15518,9320,重庆
1268019687,祁星晨,个人认证,1508,578,582,北京 昌平区
2374624284,灿烂的五花肉,微博达人,944,1577,7232,福建 福州
2181361621,记录的人,个人认证,940,2389,7230,湖北
1995802057,獨家記憶在冰城,个人认证,561,3339,3818,黑龙江 哈尔滨
2300823150,一颗炒豆,个人认证,124,2850,518,云南 玉溪
2626290675,海宁狮岭人,个人认证,1153,1279,11379,浙江 嘉兴
68351016,魏方溱,个人认证,1572,2304,3415,北京 海淀区
1840323777,贺建栋Andrew,个人认证,536,9329,4489,广东 广州
1882936511,记者赵新江,个人认证,1175,1328,8559,北京 西城区
2683250621,Ku欣,微博达人,1805,2346,8037,广东 珠海
2186080631,深圳老崔,个人认证,1136,88998,7320,广东 深圳
2012788165,周扒皮子,个人认证,841,8936,1704,江西 南昌
1926691165,薄荷叶的江湖,微博达人,1489,4570,8512,四川 绵阳
1726334310,侯金亮,个人认证,1488,27931,4234,重庆 渝中区
1055632851,Q周大伟Q,个人认证,805,3258,4974,内蒙古 呼和浩特
1251043625,心理脱瘾哥何日辉,微博达人,518,1593,4535,广东 广州
1028410180,编剧赵华,个人认证,1928,7701,18608,上海
1606914234,李伟-Attorney,个人认证,608,2932,5045,北京 朝阳区
1929996203,高建地产_庄阳,个人认证,714,2823,5559,湖南 长沙
1875621711,汤仙仙,微博达人,873,2065,10042,天津 河西区
1912744687,李剑然,个人认证,1113,61226,2887,江西 南昌
1689612777,张志魁,个人认证,1870,3842,10695,北京 海淀区
1815478997,李永宏,个人认证,822,20551,8686,辽宁 沈阳
1776299671,幸福兔太太,普通用户,1868,3526,22262,香港 其他
1439716420,秋秋东写西读,普通用户,391,2052,1452,重庆 南岸区
2131055693,幸福独钓寒江,微博达人,1027,1447,8553,广东 肇庆
1497686552,云中i漫步,微博达人,1985,2913,1413,浙江 杭州
2545049045,姚卫国律师,个人认证,555,825,1869,吉林 长春
2131428627,沈阳张晶,个人认证,1920,53489,5580,辽宁 沈阳
1400579875,西楼茶坊,普通用户,1253,1421,3247,广东 汕头
1734391954,土豆2008,普通用户,2503,3761,4643,北京 东城区
1835330280,CNR葛朝兴,个人认证,610,4379,776,其他
2297175012,我是苏老湿,普通用户,787,27999,8151,福建 泉州
1632075067,鸭苗苗,个人认证,1988,6562,10449,云南 玉溪
1901926291,淮南岳葆春,个人认证,1662,27476,13022,安徽 淮南
2216778982,陈家品Samuel,个人认证,647,11088,2011,浙江 温州
1825810161,水墨风景166,个人认证,1184,1022,3347,北京 海淀区
1804935161,紫燕雅然,微博达人,1991,3809,14232,河南 新乡
2044475475,設計師-文少,个人认证,470,14016,1712,湖南 长沙
1425485793,彭进同学,普通用户,613,1074,14810,广东 广州
1656324672,3G人力资源,微博达人,1912,6726,5976,北京 朝阳区
2126255161,赵萍的消费经济评论,个人认证,204,5837,1099,北京 东城区
1445403190,财富密钥,个人认证,1963,32575,16135,北京 东城区
1117384014,舟亦洲,普通用户,3000,22898,11114,上海 浦东新区
1246219552,刘桂明,个人认证,1985,27820,9024,北京
1649539512,王宝明,个人认证,1031,2952,3688,北京 海淀区
2858318360,任宗林律师,个人认证,347,51424,1810,云南 昭通
2308813992,晚报社会新闻王旭,个人认证,1333,1563,3093,辽宁 抚顺
1747539402,长城艺术,个人认证,1204,3128,17476,福建 厦门
1716233020,吉林崔允太,个人认证,1900,2620,12198,吉林 吉林
1584773361,肿瘤专家陈小兵,个人认证,2000,10461,9278,河南 郑州
1241918692,菩提树下-,微博达人,2106,7113,9213,海南 海口
1228941457,女警玉姐,微博达人,917,1190,4582,福建 福州
2684209125,九垓上,个人认证,1871,553,1125,广东 深圳
1792453545,王宝泉微博,个人认证,249,4491,2144,北京 通州区
1289991480,南京律师十年一剑,个人认证,1975,54889,3679,江苏 南京
2235358602,张春文V,微博达人,1709,1936,3917,浙江 金华
1044979550,管锡琪,个人认证,565,1440,2942,山东 青岛
2419876533,石文昌A1,个人认证,459,4170,4305,北京 海淀区
1580757252,王有旺导演,个人认证,371,3108,9242,内蒙古 呼和浩特
1253056703,五老妖,个人认证,779,3628,10232,辽宁 大连
