uid,user_name,verifiedType,following,followers,statusCount,location
2752894083,黄河新三角,普通用户,982,1640,428,北京 丰台区
2954332484,芭比果果泰国试管婴儿好孕,微博达人,2381,1355,1148,海外 泰国
2657895393,1250359485_ad2310,普通用户,334,245,135,黑龙江 绥化
2362658754,老顽童jueminabcdef,微博达人,1557,209,457,湖南 长沙
1756445185,建军伟业,普通用户,1528,65994,16794,北京 西城区
1791494954,董骥,个人认证,979,16161,1591,云南 昆明
1669102013,职教人刘景忠,个人认证,1970,2793,424,江苏 徐州
2471812200,终参天的小种子,普通用户,132,192,1486,山西 太原
2536898310,食品百科视界,普通用户,1793,1755,475,北京 密云县
2109342277,百度百科那点事_zjm,普通用户,1798,1994,673,天津
2546859333,学术出版,普通用户,384,35,18,北京 通州区
1704915185,荒漠苍龙,微博达人,854,490,147,山西 临汾
2487729783,太原中冀斯巴鲁,机构认证,747,627,1281,山西 太原
2473229154,翼米阳光80th,普通用户,228,143,74,山西 吕梁
1651427791,滴血的泪_f8w,普通用户,137,93,419,天津 南开区
2498310995,流云的回忆572,普通用户,988,201,227,广东 深圳
2012267024,滨海一网民,普通用户,1079,462,4271,天津
2596612843,临汾人保直属营销部,普通用户,134,46,53,山西 临汾
2178733014,余政委,普通用户,1594,96,0,浙江 杭州
1790247635,Miss然小然,普通用户,295,170,404,山西 临汾
2607493563,洋妈的美好生活,普通用户,212,116,369,山西 临汾
1068478832,人称吴大帅,普通用户,1799,10384,0,江苏 南京
1256982025,临汾水良白,微博达人,1862,2573,9087,山西 临汾
1231668867,周蓬安,个人认证,535,9557,20725,安徽 芜湖
1991032284,锦色海岸线,普通用户,1900,10290,4179,上海
1682661581,琴瑟相思,微博达人,1801,27294,7178,辽宁 沈阳
2255184363,山西临汾尧都彬彬,普通用户,534,195,822,山西
1708149414,bShare,机构认证,1621,17854,2145,上海 静安区
1038882202,嘉陵江上客,个人认证,1959,30599,1232,四川 南充
1646529865,郑挺颖-,个人认证,1665,2009,2208,北京
2193318484,2011环球旅游小姐,普通用户,178,99,71,湖南 长沙
1700286454,王鑫昕,普通用户,1645,2939,3834,北京 东城区
1695636547,中国之声白宇,个人认证,1235,12594,2103,北京 西城区
1708030461,狄多华,个人认证,2000,3870,3623,北京 东城区
1896634250,中国新闻视线网记者,微博达人,2000,1051,1348,陕西 延安
2070977494,勤奋的公正何在,普通用户,604,132,28,山西 临汾
1307634571,青涩的螃蟹,微博达人,461,445,1165,北京
1500113221,星夜的眼睛,普通用户,301,532,4316,江苏 常州
1935928912,冷月汀,普通用户,388,2124,1915,青海
1861636934,长沙东方红,普通用户,2006,5277,45223,湖南 长沙
1992487801,美国的雨点,普通用户,1540,4451,6358,海外 美国
2056813643,股票分析师2011,普通用户,1219,346,58,湖南 长沙
1826572975,钟离常生,普通用户,1046,481,709,湖南
2086001957,临汾生活小编,微博达人,505,518,408,山西 临汾
