uid,user_name,verifiedType,following,followers,statusCount,location
3065665375,临汾微生活,普通用户,319,224,168,山西 临汾
1822059013,我们爱临汾,普通用户,1926,751,1473,山西 临汾
2545432840,逍遥剑飘香雨,普通用户,38,30,15,山西 临汾
2982910451,临汾声音,普通用户,35,0,1,山西 临汾
1687477892,山西提督,个人认证,573,2504,5735,山西 临汾
1572186091,张莹超,个人认证,749,409,178,山西 临汾
2153594903,北京Caterpillar,普通用户,156,160,760,北京
2607584970,妖精梅西,个人认证,65,586,47,山西 临汾
2384820273,临汾日报广告部刘勇,普通用户,1119,318,61,山西 临汾
2758359577,临汾那些事,普通用户,264,100,33,山西 临汾
2721946283,少湖之变,普通用户,4,25,1,山西 临汾
1937374724,玉的星星久久亮,普通用户,63,116,523,山西
1859397261,宇jing,普通用户,86,29,1031,山西 临汾
1749576001,________Miss-Invisible________,微博达人,93,822,2349,山西 临汾
1658784355,jas非,微博达人,444,1637,3834,山西 临汾
2085995713,政治关乎其谁,普通用户,1961,2520,528,北京 通州区
2393582372,政坛那些政事,普通用户,1920,2847,695,北京 东城区
1977033453,分目目分,普通用户,182,90,270,山西 临汾
2389224575,球球儿_0825,普通用户,163,32,182,山西 临汾
1993991241,叫我王姑娘_,普通用户,116,185,666,山西 临汾
1560579684,辛宇卉,普通用户,83,55,130,山西 临汾
2052986117,等待猫猫吉祥的猫猫如意,普通用户,80,186,880,山西 临汾
1756573863,布一katherine,微博达人,217,1233,2465,山西 临汾
1741321255,绿色的苹果XJ,普通用户,106,775,1524,山西
2130664854,假如-将离,普通用户,107,59,302,山西 临汾
1738878934,灰澀會,微博达人,582,1055,3598,山西 临汾
