uid,user_name,verifiedType,following,followers,statusCount,location
2565316835,浮山公安,普通用户,11,20,15,山西 临汾
2661911943,1平安大宁1,普通用户,11,1071,9,山西 临汾
2125383777,平安临汾-直属分局,机构认证,2000,7690,634,山西 临汾
2038016581,平安运城,机构认证,1641,61444,1058,山西 运城
1914281205,晋中市公安局,机构认证,1039,306507,2114,山西 晋中
2141911137,忻州市公安局,机构认证,680,1893,643,山西 忻州
1911450421,平安长治,机构认证,921,10479,248,山西 长治
2308382171,平安晋城,机构认证,1491,2269,651,山西 晋城
1194956975,平安阳泉,机构认证,734,3004,452,山西 阳泉
1790476443,山西公安,机构认证,959,1954078,2399,山西 太原
2107643087,山西警方周刊,机构认证,340,2843,553,山西 太原
1606859160,田仁学,普通用户,735,187,336,重庆 黔江区
1990371382,流莎se8en,普通用户,75,53,0,山西
2106102490,山西高速四支队五大队,机构认证,911,3209,2602,山西 运城
2559970481,晋城市公安局城区分局,机构认证,746,8266,1674,山西 晋城
1926780771,新华网中文版,普通用户,361,8085,469,北京
1933403482,新晋商微博,普通用户,359,111,22,山西 太原
1262371304,人民公安报总编室,机构认证,1699,96744,1505,北京 丰台区
1045423751,平安太原,机构认证,1999,2303078,6211,山西 太原
1882800210,黄河一拨就灵,机构认证,166,7256,175,山西 太原
