uid,user_name,verifiedType,following,followers,statusCount,location
2048677592,Summer勿忘心安,普通用户,25,22,285,上海 杨浦区
2824402675,潘驻梯,普通用户,1075,303,1876,浙江 杭州
2499510940,傲世凌宇衿衿我心,微博达人,652,395,540,山西 临汾
1686538674,王子轩008,微博达人,392,1538,378,山西 太原
2540876383,裴小爱o,微博达人,525,133,396,山西 太原
2525935672,大唐网-三少,普通用户,1436,438,216,山西 太原
2654485771,如果这一刻我遇见你,普通用户,1,21,30,山西 太原
2926902807,手机用户2926902807,普通用户,1,1,0,山西
2863950074,太原富力,机构认证,152,10414,217,山西 太原
1774069502,-一顾倾城-,微博达人,408,410,111,山西 吕梁
2195431731,琪琪制服嘻嘻,普通用户,554,260,306,台湾 高雄市
2342602105,Liberty_小晨,微博达人,272,387,2336,山西 太原
2344747291,陆子白,普通用户,1658,620,1725,云南 昆明
2723389461,阁楼上的阿貂,普通用户,52,25,1,山西 忻州
2637383567,亚多模2637383567,微博达人,1338,353,261,北京 朝阳区
1829598473,听说-枫叶,微博达人,202,320,643,天津 南开区
1345666303,甜甜爱丹,普通用户,149,200,1000,山西 临汾
1853502014,1-1明,普通用户,155,164,144,山西 运城
2844268457,我爱我林,普通用户,7,8,22,其他
2431989811,似风-似水,普通用户,26,10,2,山西 吕梁
2094581793,长野2011,普通用户,58,20,48,山西 临汾
2210942477,惜君如常1989,普通用户,118,111,390,山西 临汾
2706074311,7天的奇迹瘦8斤,微博达人,900,30846,860,浙江 宁波
2423261682,爱D王倩楠,普通用户,462,119,281,山西 运城
2874759722,平凡人1985彭国亮,微博达人,886,296,76,山西 临汾
2391826872,优乐品网,机构认证,1987,854,198,山西 太原
2248812787,太原恋上摄影幸福影像,机构认证,1994,453,498,山西 太原
2822959963,来自北极的风,普通用户,46,10,25,山西 太原
1653124141,每日笑话榜,普通用户,263,1392744,1167,山西 太原
2330415965,肖倩michelle,普通用户,654,29744,180,山西 太原
2872805464,宅男健康计划,普通用户,1583,1680,331,广东 广州
1250723622,叫我老杨就行,普通用户,211,268,833,山西 太原
2610641475,山西壹比零,机构认证,1909,6196,2289,山西 太原
1740724257,一剑飘香2010,普通用户,410,463,1191,山西 临汾
273307684,悟--农业爱好者,普通用户,86,262,210,山西 临汾
1744895391,大学生联盟旅行,普通用户,669,398,809,山西 临汾
1933374133,tracy894,微博达人,367,872,0,山西 晋城
2484186581,婷婷飞飞飞,普通用户,31,7,15,其他
2486858022,一默奇葩,普通用户,96,77,182,北京 密云县
1956763977,InStyle,个人认证,1970,458,679,海外 新西兰
2277055817,寶er-Goly-御姐,普通用户,148,85,315,山西 吕梁
1747900810,山西大兵,微博达人,294,326,121,山西 临汾
1218669724,wuzhiwo,普通用户,1025,1171,0,山西 临汾
2086001957,临汾生活小编,微博达人,505,518,408,山西 临汾
1844070741,幸福的人2009,普通用户,55,4,1,山西 临汾
2404204270,临汾锣鼓桥上海大众汽车微博,机构认证,1980,2404,3794,山西 临汾
2512583262,流瀏通讯,微博达人,1990,1025,524,山西 临汾
1797569972,吾实事求是,微博达人,2000,3270,3590,山西 临汾
1758697845,L--盆盆,微博达人,411,1589,4,山西 临汾
2570387407,零度手温暖,普通用户,9,2,2,山西 吕梁
2653674504,好运常在3862,普通用户,54,37,70,其他
1728730423,睡不着的鱼4886,普通用户,36,11,7,山东
1987110535,杨钰敏敏敏敏敏敏敏,普通用户,79,71,97,山西 临汾
1951234505,最帅的矮穷挫,普通用户,279,302,575,山西 临汾
1647175312,李志鹏私想者_MU,微博达人,690,802,1397,山西 临汾
1163691745,旧日好时光,普通用户,149,88,466,上海 浦东新区
2385917717,我有沙发你有吗,普通用户,20,16,95,其他
1666601704,Zzz_7,普通用户,118,2066,1919,山西 临汾
1541268284,军璋,普通用户,89,447,512,山西 临汾
1723756165,春风秋叶,普通用户,58,171,784,山西 临汾
1679536503,大牛1989,微博达人,405,716,919,山西 临汾
1786695983,道心行止,普通用户,228,490,846,山西
1790812707,不曾记何来忘,微博达人,658,945,2445,山西 临汾
1739087085,明明萌,普通用户,216,91,504,山西
1989757192,拉手网临汾站,机构认证,1774,2722,2144,山西 临汾
2008069771,王梅梅rita,普通用户,473,426,1136,山西 晋中
1746279113,垂死的虱子,微博达人,152,1531,2381,山西 临汾
1908822773,武宏宇2011,普通用户,223,616,1897,山西 晋中
2030594943,笑佷羙-霞,普通用户,131,207,463,其他
1767093961,Nokia那些事儿,普通用户,966,19554,4375,北京 海淀区
1702036532,那些美好逝去,普通用户,307,66,52,山西 吕梁
1540061987,真才子,普通用户,307,317,898,山西 晋中
1843512681,锋芒FOREVER,微博达人,200,362,720,山西 临汾
1778762365,-呓语-_,微博达人,264,1073,1721,江苏 苏州
1642630330,ooof,微博达人,524,1653,3876,北京 朝阳区
1752309554,孔夫子-曰,普通用户,1875,479,68,山西 临汾
1294268692,张恫兵,微博达人,1961,3339,3950,山西 临汾
1256982025,临汾水良白,微博达人,1862,2573,9087,山西 临汾
1565900661,苏格拉___帝,微博达人,320,268,1269,山西 太原
1283526783,c不our枯age,微博达人,732,2846,5762,山西 临汾
