uid,user_name,verifiedType,following,followers,statusCount,location
2852490810,都是喷嚏惹的祸,普通用户,1198,888,804,浙江 杭州
2450926505,冬5200,普通用户,72,14,28,其他
2051988217,樊小警,微博达人,688,1648,1861,山西 临汾
1718254612,天际0928,普通用户,131,52,51,山西
2934902247,马磊AIDD,普通用户,16,14,9,山西 临汾
2858277451,Love眼儿,普通用户,71,63,29,北京
2808402361,黄杨慧HYH,普通用户,74,30,195,浙江 丽水
2562030882,豪仔实在豪爽,普通用户,102,579,146,北京 海淀区
2939609107,anly豆丁,普通用户,34,6,12,山西 临汾
1854046331,太原人论坛乐乐,微博达人,1322,3378,1118,山西 太原
2807447323,云丘山-风景区,普通用户,842,359,391,北京 崇文区
2752813327,Gemini_娇_,普通用户,122,88,202,山西 临汾
2978952114,普见文化,机构认证,38,96,136,云南 昆明
1626733781,_小冰十一月要很忙,普通用户,253,90,1205,北京
2618332047,愿得一人人人人人人心,微博达人,171,168,258,山西 临汾
1822059013,我们爱临汾,普通用户,1926,751,1473,山西 临汾
2893541055,小咚咚xd,普通用户,58,22,44,其他
2416171561,噪音时代,微博达人,320,287,324,北京 朝阳区
2506162914,ZD童鞋,普通用户,66,33,78,山西 太原
2703143013,游刃有余2006,普通用户,39,5,13,山西 临汾
1808889235,陌路BOBO,微博达人,470,1768,3236,山西 太原
2691718305,Lindali198687,普通用户,64,76,178,北京 朝阳区
2263163773,静儿Silent,普通用户,105,442,432,山西 太原
2170016715,菟儿薇薇,微博达人,175,238,1500,北京
2702935000,丽江客栈翠花大院,普通用户,1998,6678,981,云南 丽江
1321395131,璠爷-我的个神啊,普通用户,124,136,379,吉林 通化
1852532553,蝶恋花减肥网,机构认证,1924,5512,2280,广东 广州
1900167043,心如止水的小宇,普通用户,81,44,62,北京 西城区
2538769153,思念珊瑚雨,普通用户,124,89,261,北京 崇文区
1818934143,CR铃不铃不铃,微博达人,258,435,1740,山东 济南
1966941831,木子林夕竹,普通用户,331,215,302,山西 晋中
1998609765,King_yc,微博达人,238,437,393,山西 临汾
2391282927,王xiao然,普通用户,35,28,37,山西 临汾
1894471005,宋琦ss,普通用户,176,60,341,天津 和平区
1935210383,临汾同城会,普通用户,1028,1087,2559,山西 临汾
2243697184,甜心Q小姐,普通用户,114,439,440,山西 太原
2153231730,含章可贞--高殊文,个人认证,283,333,1517,云南 昆明
2665634362,小杜哥2,普通用户,71,6,20,广东 深圳
1835753324,DJ侯马,微博达人,1105,2706,10834,山西 临汾
2488239667,景诚诚,普通用户,366,54,3,山西 临汾
1827717160,死靈之戀_H,普通用户,173,77,209,其他
2404714987,萌397407683,普通用户,18,22,12,山西 临汾
1626945633,就想换个不靠谱昵称,普通用户,193,11094,82,北京 西城区
1819685293,丁丁LOVE雪雪,微博达人,282,279,206,山西 临汾
1867264992,Monster_兽兽,普通用户,82,31,36,贵州 贵阳
1297159421,建超SHUIXIE,普通用户,588,215,0,北京 朝阳区
1811319561,我也团-贵阳,普通用户,1404,233,534,贵州 贵阳
