uid,user_name,verifiedType,following,followers,statusCount,location
2363047950,迷你奥利奥yeah,普通用户,29,10,0,山西 太原
2651384994,小鱼bd9,普通用户,69,20,30,山西 临汾
1705339740,youyounvyang,普通用户,63,84,226,北京 朝阳区
1734997737,大雁高飞了,普通用户,197,295,377,北京 朝阳区
1299371302,城镇记忆,普通用户,268,137,410,山西 太原
1150422125,洪涛农夫,普通用户,1271,1219,2523,山西 太原
2018541721,败家败不girl,普通用户,25,30,81,广东 深圳
1435762747,莫莉_,个人认证,851,2218,3379,其他
1731078597,两只眼的距离,微博达人,183,482,724,山西 临汾
2028924901,吉姆冯,普通用户,69,59,32,湖南 长沙
2677658845,达子2677658845,普通用户,87,1,1,其他
1195825015,小胖锐哲,微博达人,451,183,175,北京 朝阳区
1913854777,蔡小豆丶,微博达人,0,0,0,山西 临汾
2375266180,-徐恒,微博达人,260,135,208,北京 朝阳区
1638584720,王巍www,个人认证,286,277,1502,北京 朝阳区
1864546065,北京耀辉印刷有限公司李喜彪,个人认证,104,190,1058,北京 朝阳区
2626345621,管理标杆案例,普通用户,66,36,6,北京
1373726040,老薛将,普通用户,702,496,2380,北京
1845854197,小田田不赖妮,普通用户,132,245,880,山西 临汾
1950745184,安静贝鲁,普通用户,30,36,66,湖南 长沙
1248351015,Yucky奇,普通用户,199,645,313,山西 太原
2565390725,黄锦菲,普通用户,484,141,481,北京 朝阳区
1772054352,敏感的胖子,微博达人,627,1312,9308,北京 宣武区
1449264502,灰色毛衣426,个人认证,634,1124,3683,北京 宣武区
1678214967,人龙0711,普通用户,26,96,27,山西 临汾
1345603572,哈喽人龙,普通用户,23,3,2,山西 临汾
1773011480,1980陈虹,普通用户,134,89,362,北京
1846482620,临汾-露胖,微博达人,303,6395,1849,山西 临汾
1813805810,刘刘刘高兴,微博达人,396,635,729,山西 临汾
2515260967,白羊沐目了,普通用户,26,39,20,山西 临汾
1830417162,King王勝,微博达人,266,1398,583,山西 临汾
1427882435,HGCheng,微博达人,553,812,6962,北京 朝阳区
1418381823,陈志鹏VIP,普通用户,137,21887,334,北京 海淀区
2005926743,clyze83,普通用户,59,29,68,湖南 岳阳
1496968291,传说中的黑狐,个人认证,326,533,192,北京 朝阳区
2262007587,牧笛悠扬246,普通用户,189,4448,421,北京 丰台区
2339146191,1彬BinBin彬1,普通用户,37,87,306,山西 临汾
