uid,user_name,verifiedType,following,followers,statusCount,location
2185491613,临汾联通熟透的李子,普通用户,114,28,84,山西
1854836553,联通雁南飞,普通用户,286,100,5,山东
2755477470,wo感到一束光把我照亮,普通用户,23,30,26,山西 太原
2758359577,临汾那些事,普通用户,264,100,33,山西 临汾
2437192757,联通帅鲍-爆帅,微博达人,2422,2727,3288,辽宁 营口
1936157205,联通张杰,普通用户,480,451,129,安徽
2316951240,明光联通小鱼,普通用户,1336,284,56,安徽 滁州
1831676090,濮阳联通七,普通用户,795,384,98,河南 濮阳
1846445622,jl徐光明,微博达人,1236,529,395,吉林 通化
2504152651,老衲是诗人,普通用户,10,3,1,山西 临汾
1854729180,汾西侯桑英,普通用户,379,148,369,山西 临汾
1854670020,随缘2050,普通用户,405,187,77,山西
2201057664,果时代-苹果派-Apphone,普通用户,907,269,17,广东 广州
2293761647,联通动力火车,普通用户,1160,518,56,贵州 贵阳
1854652264,因为爱567,微博达人,451,316,2712,山西 临汾
1884729561,山西李桂冰,普通用户,264,177,88,山西 临汾
2247601467,南皮3G就选沃lx,微博达人,1869,2333,4900,河北 沧州
2317653917,遵义联通刘相贵,普通用户,1996,1055,215,其他
1854867304,18635805026lf,普通用户,302,353,448,山西 吕梁
2119633274,联通赵冬燕,普通用户,1411,1309,133,黑龙江 双鸭山
1831643190,浪漫人生186,普通用户,2000,1654,0,河南 郑州
1971845107,独缺一角,普通用户,1200,491,177,其他
1403994710,杨白劳咸鱼翻身,普通用户,1592,506,495,山西
1867932850,郭涌_乌市联通,普通用户,113,75,185,内蒙古 乌兰察布盟
1854600890,Wtlt姚瑶,普通用户,734,461,1917,山西
1987625433,杨宝霞-3G就选WO,普通用户,843,623,137,河北 沧州
2294653535,贵阳联通何庆,微博达人,1196,1396,1329,贵州 贵阳
1960082071,程氏禽业,微博达人,1368,832,1682,陕西 渭南
2284991227,贵阳联通刘振华888,普通用户,881,1030,162,贵州 贵阳
2299184565,缘来有wo,普通用户,678,384,308,河南 郑州
1869008767,黔南联通谭忠平,普通用户,302,212,34,贵州 黔南
1867188061,秦增庆,个人认证,386,626,570,山东 聊城
