uid,user_name,verifiedType,following,followers,statusCount,location
2358366032,临汾联通网上营业厅,机构认证,137,5783,1046,山西 临汾
1822059013,我们爱临汾,普通用户,1926,751,1473,山西 临汾
1783040911,你我他888,微博达人,1557,1551,17819,江西 新余
1874510134,83射雕英雄传,普通用户,849,346,914,山西
1935210383,临汾同城会,普通用户,1028,1087,2559,山西 临汾
2130316933,卍平常心,微博达人,512,380,625,山西 临汾
1855807314,临汾乔斌,普通用户,142,241,69,山西
1855790910,临汾李忠德,普通用户,142,250,117,山西
1467240874,梧桐听雨5049,普通用户,832,801,4244,山西
1855836052,徐瑞华六,普通用户,395,424,528,山西
2239207464,女交警_Sissi,微博达人,434,445,1426,山西 临汾
1786082255,临汾薛忆如,机构认证,1989,5157,0,山西 临汾
1855835620,雷敏Y,普通用户,32,291,435,山西
1854694982,小皮LL,普通用户,505,336,386,山西 临汾
1854735844,Vsens_山西常艳琴,普通用户,318,442,1730,山西
1854695662,临汾清华,普通用户,295,179,49,山西
2105214130,文武8889,普通用户,218,198,177,山西 临汾
1854806480,王玉军0966,普通用户,130,257,96,山西 临汾
1854764352,临汾穆帆,普通用户,335,369,213,山西
1854612430,临汾联花,普通用户,1998,6177,3143,山西 临汾
1854748822,原来的我是现在的我,普通用户,298,322,718,山西
2081601341,临汾联通王金龙,普通用户,133,384,873,山西 临汾
2095264487,李高航,普通用户,143,47,86,山西
1854801352,尧通,普通用户,158,184,81,山西 临汾
1855798962,山西临汾七少爷,普通用户,453,401,239,山西
2084682793,太原申波,个人认证,520,5843,1082,山西
1854790444,侯马严涌,普通用户,41,299,177,山西 临汾
