uid,user_name,verifiedType,following,followers,statusCount,location
1218669724,wuzhiwo,普通用户,1025,1171,0,山西 临汾
1536859892,肥鱼BH4AST,个人认证,279,596,3820,上海 闵行区
1960600243,冯腓力,微博达人,1296,4143,3737,其他
1281123027,逸君缘,微博达人,2968,6164,2938,其他
2142783272,黄金理财Rindy岩,个人认证,144,9674,1155,广东 广州
2616694517,中国上海国际青年钢琴比赛CSIPC,机构认证,1110,7070,368,上海 徐汇区
1681072345,基督时报基督教资讯平台,机构认证,1000,15789,5981,北京
2361707152,福音之家2010,微博达人,1585,1172,1473,上海 静安区
1581100120,道法本来的人,普通用户,2000,1118,2140,山西 大同
1256982025,临汾水良白,微博达人,1862,2573,9087,山西 临汾
2825933807,李俊刚,个人认证,1216,1085,1840,山西 临汾
2768939141,shj永平,普通用户,1902,797,258,黑龙江 哈尔滨
1651218671,李雷强,微博达人,1223,1246,0,山西 临汾
1854667164,折戟葬刀身归土,微博达人,1253,1164,2646,山西 临汾
2003245317,阳光安雅宁,普通用户,1221,495,323,黑龙江 哈尔滨
2353268161,爱临汾爱褚婷,普通用户,342,130,199,山西 太原
1854663712,派大星PatrickStar1,普通用户,816,187,1548,山西 临汾
1868482323,爱的村庄,普通用户,346,137,523,辽宁 大连
1930020611,凡基Frankie,普通用户,176,299,233,香港
1204798531,冬飚2003,微博达人,742,757,3152,广东 广州
2742761357,好牧者,普通用户,276,98,72,山东 德州
2721642613,橄榄枝发芽,微博达人,1535,903,542,山东 淄博
2307510121,丁陶大帝,普通用户,132,61,60,山西 临汾
2475986162,快乐的青叶,微博达人,217,136,425,广东 深圳
2423028515,印尼东爪哇的日出,微博达人,1181,586,231,浙江 杭州
2142170681,迦勒AAA,微博达人,1955,857,669,贵州 遵义
2639810475,安安Love上帝,微博达人,1512,885,3647,黑龙江 哈尔滨
1452625227,天路少年,微博达人,453,678,2168,江苏 徐州
2270010161,Liuwasway,微博达人,1572,654,770,浙江 温州
2708326361,以马内利FLF,微博达人,419,268,918,上海 青浦区
1602139313,尚建平律师微博,微博达人,1414,1491,1197,上海 静安区
2505251604,生命永不止息,微博达人,1972,1309,593,江西 上饶
1811706625,诸强新老师,微博达人,600,1356,2883,浙江 杭州
2428140883,杨立谦Louis,微博达人,681,691,1403,北京
1819306927,晨光阅读,机构认证,1813,5209,2575,北京 东城区
2157929627,张后奇,个人认证,1250,110056,4965,北京
2544303155,天津市伯特利爱乐团音乐事工,机构认证,1857,114541,2271,天津 河东区
2099693291,-Niti-,微博达人,145,272,726,海南 海口
1155614501,韦长安的微博,普通用户,147,242,232,河南 驻马店
1677881110,仰望星空de雷,普通用户,1184,1589,672,四川 绵阳
1710111697,上海云龙,微博达人,186,1262,4928,上海 黄浦区
1730243022,荒诞渔夫,普通用户,211,1747,3827,安徽 亳州
2163700824,每日圣经金句,普通用户,997,12483,6162,重庆 渝中区
2267817020,思年的繪畫創作,普通用户,1103,982,358,台湾
1183226271,一颗尘土空间,普通用户,1998,4038,667,浙江 杭州
1644645934,海云弟兄,普通用户,198,211,125,重庆
1899523465,微尘_Amy,普通用户,147,1045,1851,北京 通州区
1954284433,上帝爱世人,普通用户,1965,7252,1130,江苏 苏州
1401098873,杜强V,普通用户,409,1044,684,北京 朝阳区
1224804035,Kerryyiphk,个人认证,2038,2952,1754,香港
1807085615,宋晓贤,个人认证,2000,4818,5431,广东
1747301504,陶土文化,机构认证,769,2050,858,上海 徐汇区
1642630330,ooof,微博达人,524,1653,3876,北京 朝阳区
1401937582,吴泰,个人认证,1095,5205,5150,广东 广州
