uid,user_name,verifiedType,following,followers,statusCount,location
1610418167,爱养花的南瓜,微博达人,234,483,685,浙江 杭州
1234779423,悠扬牧笛,普通用户,170,348,1244,山西 晋城
1879737290,胡丹07,普通用户,102,184,1968,北京 朝阳区
1483556595,雨丝的点滴,普通用户,157,178,1245,广东 汕头
1682894734,水晶镜子,微博达人,1111,578,551,山西 临汾
1982030165,河北--醉,普通用户,41,50,250,河北 承德
1431498763,72楼明月,普通用户,449,250,398,山西 太原
1423532302,北北落师门,普通用户,156,203,117,山西 太原
1075212653,浆糊团子,个人认证,318,6091,10366,北京 海淀区
2088403183,Dora大头和她的Amy小多,普通用户,73,85,357,北京 海淀区
1844655241,马克_豆丁,普通用户,46,561,2560,辽宁 沈阳
1228871443,悠然行,普通用户,126,288,1000,山西 太原
1037370120,温榆河畔好耕田,普通用户,699,2884,9562,北京 海淀区
1655297260,凉风满袖,普通用户,190,598,1851,山西 太原
1217528642,花见花暖,普通用户,43,84,211,山西 太原
1964016457,一只魔法盒子,个人认证,650,1536,954,山西 太原
1808016302,瑞喜,普通用户,371,582,5507,江苏 南京
1305428117,小茉Anny,普通用户,141,600,1615,山西 太原
1408195123,動地來,普通用户,184,921,7,山西 太原
1758344891,张健V了谁的BO,个人认证,124,733,1508,河北 石家庄
1836946392,缨觉荏苒,微博达人,540,568,1477,广东 汕头
1745793973,马克16,普通用户,72,88,74,山西 太原
1347890087,不具匠心,普通用户,1334,6130,5895,山西 太原
1775645437,北京皮皮鲁书店,机构认证,1147,13074,576,北京
1656304524,西安-唐三彩,微博达人,1323,449,1802,陕西 西安
1712853222,尧乡之子,普通用户,253,615,1953,山西 临汾
1231298380,蔚蓝梦儿,普通用户,586,577,1293,山西 太原
1237385924,挑灯看不见,普通用户,301,1090,6096,海外
1642630330,ooof,微博达人,524,1653,3876,北京 朝阳区
1701882785,糖豆囝,微博达人,438,2425,1794,上海 徐汇区
1048350447,爱黑呀一二呀,普通用户,604,1516,4171,其他
1706530632,起名真难啊啊啊啊,普通用户,27,35,18,山西 临汾
1224433300,静女其姝100,个人认证,217,4646,1927,山西 太原
