uid,user_name,verifiedType,following,followers,statusCount,location
2912834565,家滋味健康午餐,普通用户,106,43,153,重庆 渝中区
1953819195,木子_Prince,微博达人,247,509,2718,山西 临汾
1945704341,soda_蕾子_我要减肥,微博达人,264,487,2387,山西 临汾
1699553901,Olivia00,普通用户,99,94,266,山西 临汾
1963396447,猫勒各咪,普通用户,142,351,390,山西 临汾
1639310692,so_lovely_,微博达人,304,167,175,山西 临汾
1736396085,阳小播,普通用户,158,140,695,山西 临汾
1842962697,温柔牛小花,普通用户,223,272,1220,山西 临汾
2382879575,品香书阁,普通用户,1382,1087,987,山西 临汾
1786082255,临汾薛忆如,机构认证,1989,5157,0,山西 临汾
1715564271,泷洧,普通用户,183,482,6564,山西 临汾
1854669152,__zZ__zZ,普通用户,694,452,1148,山西 临汾
1854791120,翼城小孔,普通用户,350,353,1038,山西 临汾
1993561413,诗人De蒲公英,微博达人,945,2333,509,山东 潍坊
1679536503,大牛1989,微博达人,405,716,919,山西 临汾
2099685875,伊人旋律,普通用户,401,374,155,其他
2035158434,峰铃-紫烟why,普通用户,181,468,1335,山西 临汾
1767971223,伽蓝酒香醇,微博达人,130,498,1519,山西 临汾
1693964023,雪山之巅love,微博达人,498,760,513,山西 临汾
1559797190,秣路,微博达人,205,744,1354,山西 临汾
2021857397,司大爷bobby,微博达人,1547,1981,1697,山西 临汾
1813573362,维古馨吻,普通用户,309,431,2006,山西 临汾
1855802562,001偶然,微博达人,346,349,295,山西 临汾
1340387545,网络新闻拍客,个人认证,222,1354,730,山西 临汾
1790812707,不曾记何来忘,微博达人,658,945,2445,山西 临汾
2138335860,如果不杰出娜就淑女范,普通用户,1278,1072,575,山西 临汾
1896646975,王培基,微博达人,404,1255,2585,山西 临汾
1965068965,流星雨的记录,普通用户,460,536,1629,山西 临汾
1785567945,桃忍特迷_Jelena,微博达人,972,823,911,山西 临汾
1708033500,-好好妈咪-,微博达人,1270,2058,84,海外 法国
1643558030,路少羽,微博达人,149,587,587,山西 临汾
1840716624,老靳家的郭郭郭,普通用户,16,288,2,山西 临汾
1862214023,L江江童鞋,普通用户,299,124,176,山西 临汾
1534262922,-陈坚强就是陈勇敢,微博达人,352,833,1653,山西 临汾
1767929194,闫路V,微博达人,332,705,14,山西 临汾
1767503737,张大点是个内心狂野的妞,微博达人,229,757,1674,山西 临汾
1620306411,TendsY,微博达人,440,794,2723,山西 临汾
1827057195,星烁-JN,普通用户,354,609,3529,山西 临汾
1793587535,Sun晒Sky,微博达人,211,958,2036,山西 临汾
1790381305,2367-木子,普通用户,698,610,1280,山西 临汾
1377928432,芦顶山人,普通用户,1764,472,394,山西 临汾
2256959747,Mermaid莎莎,普通用户,318,175,104,山西 临汾
2208658931,吉Lawrence,普通用户,377,82,166,山西 临汾
1719892872,Wo寒松,微博达人,458,673,1927,山西 太原
1395723643,上官00,普通用户,769,753,3257,山西 临汾
1680190680,寂寞人心的鱼,普通用户,274,606,176,山西 临汾
1730698527,奚乐飘香,个人认证,1287,1919,1398,山西 临汾
2105234032,和谐痴呆,普通用户,524,436,817,山西 临汾
1775148171,我是翔哥哥哥哥,微博达人,391,624,1615,山西 临汾
1617915185,三页茶,微博达人,615,758,983,山西 吕梁
1258092993,MissVanessa申琦,普通用户,171,990,2591,山西 临汾
2094975430,头顶240,普通用户,428,436,124,山西 临汾
1844236021,MI李瑞,普通用户,401,5656,652,山西 临汾
1611203544,Katherine-Q,微博达人,311,692,1846,山西 临汾
1998796965,晋loveme,普通用户,1910,552,96,山西 临汾
1406453381,理想的虫,普通用户,1195,637,5354,山西 临汾
1803794863,我就是dinosaur,微博达人,684,782,0,山西 临汾
1821383375,bird-hottest-yanziliu,微博达人,389,538,1508,山西 临汾
2153313247,踏痕而飞,普通用户,280,58,509,山西 临汾
1596338177,婍悦,微博达人,374,279,1347,海外
1854717994,中国山西陈军,微博达人,1220,970,508,山西 临汾
1793990744,Shellyfang,普通用户,508,486,2464,山西 临汾
1427877877,兰陀居士,普通用户,1775,2229,663,山西 太原
2281546055,家居小籹人,普通用户,1062,2091,1084,山西 临汾
2119770875,方向888999,普通用户,1111,709,2161,山西
1652137951,好好的121,微博达人,308,930,1686,山西 临汾
1877522217,OutMan--大寳,微博达人,506,1265,4109,山西 太原
1752791045,金鱼513,微博达人,496,1234,1051,山西 临汾
1226035031,敏小辛,微博达人,310,698,2247,山西 临汾
1793863773,依戀季末,微博达人,554,1012,1328,山西 临汾
1854748162,关艳锦,普通用户,474,734,231,山西 临汾
1873730912,俺不加v,微博达人,390,2537,2573,山西 临汾
1808987602,又懒又好吃的叁某某,微博达人,144,329,25,其他
1855857360,鑫鑫平安康乐,普通用户,388,392,170,山西 临汾
1299117455,山西玫子,普通用户,417,631,2060,山西 临汾
2124357247,肆意寒暄,普通用户,618,784,505,山西
1959927554,Amazon-J,微博达人,1393,1481,15345,山西 临汾
1907943007,清紫皇Simo,微博达人,269,1902,1229,山东 青岛
1861595822,非凡灵韵,微博达人,314,1542,4369,山西 临汾
2277936623,川雾杰熙mmmmmmmmmmm,普通用户,405,1326,198,山西 临汾
1775188851,小裁缝要做学霸要省钱_,微博达人,268,1450,621,山西 临汾
1725153401,过去示,微博达人,460,606,623,山西 太原
1686813623,疯子android,普通用户,277,294,0,山西 临汾
2089840263,亲_美妞Y,普通用户,337,363,331,山西 临汾
2179879605,龙成骑士,微博达人,1895,927,1244,陕西 西安
1831540693,冷小朵-,微博达人,180,379,822,山西 临汾
2190864503,爱屋及乌100,普通用户,442,337,55,山西 临汾
2055217431,点燃一支烟燃烧人生,普通用户,554,566,1151,山西 临汾
2012986635,心若幽兰妮,普通用户,1997,670,918,山西 临汾
1829460305,Lo梦秋oK,普通用户,568,308,1112,山西 临汾
1290431392,果果装兜兜,普通用户,130,84,308,山西 临汾
1742314467,人牙灰,普通用户,222,420,271,山西 临汾
2093335993,幸福太原,普通用户,1990,183941,4978,山西 太原
1622329017,默默的窝,普通用户,214,122,475,山西 临汾
1749130985,花J墩子,普通用户,830,255,547,山西 临汾
1565244380,但愿人长久005,普通用户,1444,819,1696,山西 临汾
1676133191,琥珀舞,普通用户,271,560,1312,山西 临汾
1864641171,清澈的那片海,普通用户,627,639,740,山西 太原
2045504604,lf龙腾九洲,普通用户,936,544,51,山西 临汾
2101340942,SXHMQY,普通用户,411,375,400,山西 临汾
1773877127,wanna瑾o,普通用户,1771,462,1073,山西 临汾
1854800192,Timetosaybyebye,微博达人,543,490,298,山西 临汾
1902071583,Angel_鄧小葉,微博达人,182,752,603,山西 临汾
2183198875,浪尖开花,普通用户,232,146,31,山西
1833908172,又谁共鸣,普通用户,283,125,173,山西 临汾
1974234804,媈靃,普通用户,268,153,121,山西 临汾
1266358125,三晋帅哥董杰,微博达人,576,399,119,山西 临汾
1871120234,稻--草-人,微博达人,280,321,764,山西 临汾
1855872025,扯扯扯--cxd,微博达人,231,297,321,山西 临汾
2015764297,陳大偉_Sunshine,微博达人,309,630,3955,山西 临汾
1856976322,爱吐槽的年糕qi,微博达人,308,716,2800,湖北 武汉
1811622455,正心斋,微博达人,394,932,9333,北京 东城区
1831235645,e学究,普通用户,1497,1366,382,山西
1646225054,马克图布V,微博达人,205,229,425,山西 临汾
1707866775,yf195699,普通用户,277,244,51,山西 临汾
2100544985,我-就爱红妆,微博达人,560,606,784,山西 临汾
1699932430,李鑫果儿,普通用户,598,290,812,山西 临汾
1709489341,申绍强,普通用户,976,138,82,河南 洛阳
1824447634,静等幸福,普通用户,145,91,107,山西 临汾
1222429104,heyiming,普通用户,275,99,204,山西 临汾
2259532480,蕾蕾的T空,普通用户,1714,1048,576,广东 广州
1394975690,暴走簇,普通用户,844,301,890,北京 东城区
1711755335,钓鱼岛拖死美国和小日本,普通用户,1461,429,1091,山西 临汾
1916110755,宿命丶长忆,普通用户,95,248,980,山西 临汾
1613162311,刘易铭匀,普通用户,1368,880,391,山西 临汾
1931600752,_七匹狼_,普通用户,990,1121,4932,海外 澳大利亚
1970888191,山西世博,普通用户,1302,711,822,山西 临汾
1950077685,李波999,普通用户,1310,940,853,山西 临汾
1642630330,ooof,微博达人,524,1653,3876,北京 朝阳区
1777514453,若隐若现simple,微博达人,618,209,246,山西 临汾
1290830302,山欲,普通用户,1252,1026,2815,山西 临汾
1773163894,曦苗苗,普通用户,545,201,276,山西 临汾
1747241200,真的-简单就好,微博达人,878,485,2665,山西 临汾
1874185701,二姑娘Amy,普通用户,305,318,697,山西 临汾
1651361167,空中的鱼V,微博达人,1949,1043,5876,山西 临汾
1252767490,陆只相爱鞋,微博达人,351,896,1789,山西 临汾
1342057255,褪去轻浮,普通用户,356,173,599,山西 临汾
1653367480,尔马莉,普通用户,332,148,105,山西 临汾
1805210382,耍襰皮621,微博达人,205,512,936,山西 临汾
1832535985,Vita琳,微博达人,153,413,603,山西 临汾
1790581441,香橙---卓群,微博达人,1802,1317,3600,山西 临汾
1883337845,寞殇陽,普通用户,546,261,337,山西 临汾
1980390265,小明向前冲,普通用户,461,660,210,山东 烟台
2161767640,时尚小showshow,普通用户,1735,869,516,广东 广州
1776432754,-中国制造的钢,普通用户,333,163,707,浙江 金华
2105366335,我想我享,普通用户,1981,2161,855,山西 临汾
1738959577,郭楷楠,微博达人,1688,4030,9591,山西 临汾
1657314452,kanong,普通用户,185,178,177,山西 临汾
1887098133,你会不会再回来,普通用户,809,497,1065,山西 临汾
1835845653,凌霄子_红枫叶,普通用户,1039,1091,401,山西 临汾
1616355160,杨瑛子,普通用户,414,303,84,陕西 西安
1854814423,相思同學,微博达人,819,735,897,山西 临汾
1783252213,莹莹莹莹莹-lee,微博达人,153,387,877,山西 临汾
1882129535,豐留草魚禾,普通用户,324,452,790,山西 临汾
1912190770,右耳小柒,微博达人,310,387,484,山西 临汾
1255428564,miraclerui521,微博达人,928,891,1479,山西 临汾
1761268241,这样做没错,普通用户,173,228,417,山西 临汾
1834797982,牛奶果粒,普通用户,2000,169,256,山西 临汾
2267285032,张冬梅_天使,普通用户,1965,1024,74,澳门 其他
2267200744,侯文学_forever,普通用户,1964,839,81,山西 阳泉
2199403041,赵锐娜,普通用户,1996,893,1491,山西 运城
1713652363,小幸福Emily,微博达人,580,442,1588,山西 临汾
1954294445,-想变白的黑小白-,普通用户,140,1420,4085,山西 临汾
1575630823,幸福到永远,普通用户,1156,1190,2588,山西 临汾
1723240633,若紫幽,微博达人,376,357,284,山西 临汾
1727224263,希良洁,微博达人,739,875,5295,山西 临汾
1101872337,洪洞段小坏,普通用户,1026,403,81,山西 临汾
2025461523,热博精选,普通用户,565,6449,234,海外 其他
1730355752,美美的微薄,微博达人,1948,1218,1827,山西 临汾
1964002187,别的小朋友们,普通用户,1463,1638,239,山西 临汾
1740119315,临汾生活网,普通用户,1925,1558,1397,山西 临汾
1704392330,王重一,个人认证,2000,1345377,2670,山西 太原
1047727791,笨笨家的笨笨,微博达人,450,1016,8929,北京 顺义区
1761202403,漫漫02,普通用户,607,426,4211,山西 临汾
1740751301,阳光的梨花雨飘飘,普通用户,138,118,318,山西 临汾
