uid,user_name,verifiedType,following,followers,statusCount,location
2276371377,海会清莲,个人认证,1311,1776,2386,辽宁 沈阳
1022345434,张红敏Fiona,微博达人,341,1053,784,北京
2283287117,风铃青轻,普通用户,163,1046,226,北京
1963015265,李雪菲V,普通用户,167,38,63,河北 秦皇岛
2859593842,推动力晴晴,普通用户,226,63,26,北京 丰台区
2104182494,胡献旁律师,个人认证,595,23561,217,北京 海淀区
2784665674,hi徐强,微博达人,319,114,286,北京 朝阳区
1923776617,法大出版社编辑张阳,普通用户,448,139,29,北京
2025563620,主持人方雅,个人认证,1146,1539,2170,北京
2697216375,冬瓜伊甸园,普通用户,18,1,8,北京 顺义区
1627899503,主爱合一婚恋学堂,普通用户,806,404,186,北京 朝阳区
2090166240,每天平安喜乐,普通用户,296,125,524,北京 东城区
1902267811,朵儿的小围脖,普通用户,69,10,7,北京 东城区
1969855053,lanxi_1988,普通用户,20,51,32,北京 东城区
1575154742,刘锦荣-,普通用户,170,52,99,北京 怀柔区
2619807171,找唠叨阁,普通用户,25,20,54,北京 海淀区
1412213605,发发好运,普通用户,1616,1553,1163,广东 广州
2491437033,甲壳虫卡牌,普通用户,892,814,59,广东 广州
2308459811,七棱柱,微博达人,888,2133,1192,其他
1155921232,快张开嘴巴-我要射了,普通用户,19,26,29,北京 东城区
1742615931,肥猪_SWAN,微博达人,330,3358,1887,山东 青岛
1634573100,一只眼睛看世界99,普通用户,747,170,18,辽宁 鞍山
1876358353,vivianqueen乔乔,微博达人,325,1731,141,陕西 西安
1848947873,D调O_o得得,微博达人,1776,7450,1279,浙江 宁波
1810567954,张蛋薇要减肥,微博达人,466,177,412,上海 闵行区
2263668435,____梁耀华,微博达人,249,368,659,广东 阳江
2626520391,UYyken_陈鹏,普通用户,36,42,2,广东 惠州
2613234161,郭栋磊,个人认证,813,418,245,北京 海淀区
2556858175,老赵不加V,普通用户,225,15,11,北京 海淀区
1891716883,中国政法大学出版社编辑魏星,普通用户,55,23,0,北京 海淀区
1687718514,左加一,普通用户,57,272,452,北京
2345898410,快乐爱阳光公益,机构认证,1967,3205,402,福建
1652150270,jianming01,普通用户,61,68,111,北京
2342982237,公民高健,普通用户,216,75,43,山西 吕梁
2317513823,政法大学出版社策划编辑张晶晶,普通用户,95,66,137,北京 海淀区
1054984142,象天健,普通用户,815,1138,1251,北京 海淀区
1806589817,复兴门外2号,个人认证,862,35488,3144,北京 西城区
1660317270,丁春晖编辑,个人认证,2134,3047,2042,北京 海淀区
1758695665,顾金龙,普通用户,576,316,637,北京 海淀区
1230066712,人民出版社编辑邓创业,普通用户,2211,1779,745,北京 东城区
1672549675,kelly--付,普通用户,25,15,114,北京 朝阳区
1925691481,勇敢的暖暖,普通用户,24,7,26,北京
1892660821,LI沐阳,普通用户,245,339,384,北京 海淀区
1642630330,ooof,微博达人,524,1653,3876,北京 朝阳区
1320232243,顾金龙-法律,普通用户,265,195,96,北京 海淀区
1742866401,紫OO叶,普通用户,85,68,178,北京 海淀区
1657483437,无淡定_不习惯_很菜,微博达人,532,827,6294,北京 石景山区
1878126905,快乐小安然,普通用户,62,31,51,北京 海淀区
1851478247,刘佳rayyaa,普通用户,399,1026,2089,北京 西城区
1787522493,qianqi625,微博达人,719,336,583,北京 海淀区
1672631415,好好睡觉,普通用户,1474,3197,9515,山西
