Id	Label	分类
临汾市教育局	临汾市教育局	
项目-商品和服务支出	项目-商品和服务支出	支出
财政拨款	财政拨款	收入
临汾市新型农村合作医疗管理中心	临汾市新型农村合作医疗管理中心	
其它支出	其它支出	支出
临汾市民政局机关（行政)	临汾市民政局机关（行政)	
项目-对个人和家庭的补助	项目-对个人和家庭的补助	支出
政府性基金收入拨款	政府性基金收入拨款	收入
临汾市卫生局	临汾市卫生局	
临汾市人口和计划生育委员会	临汾市人口和计划生育委员会	
临汾市住建局	临汾市住建局	
临汾市环境卫生管理局	临汾市环境卫生管理局	
临汾市公安局	临汾市公安局	
临汾市交通运输局	临汾市交通运输局	
临汾职业技术学院	临汾职业技术学院	
财政专户管理的非税收入拨款	财政专户管理的非税收入拨款	收入
山西师范大学临汾学院	山西师范大学临汾学院	
临汾市公安局直属分局	临汾市公安局直属分局	
临汾市住房委员会办公室	临汾市住房委员会办公室	
山西省临汾第一中学校	山西省临汾第一中学校	
临汾市医疗保险基金管理中心	临汾市医疗保险基金管理中心	
临汾市粮食局	临汾市粮食局	
临汾市人力资源和社会保障局机关（行政）	临汾市人力资源和社会保障局机关（行政）	
临汾市环境保护局机关	临汾市环境保护局机关	
基本-工资福利支出	基本-工资福利支出	支出
项目-工资福利支出	项目-工资福利支出	支出
临汾市三中	临汾市三中	
专项收入拨款	专项收入拨款	收入
其它资本性支出	其它资本性支出	支出
临汾市科学技术局	临汾市科学技术局	
临汾市农业委员会	临汾市农业委员会	
临汾市水利局	临汾市水利局	
临汾市人民检察院	临汾市人民检察院	
罚没收入拨款	罚没收入拨款	收入
临汾市煤炭工业局	临汾市煤炭工业局	
临汾市公安局交通警察支队	临汾市公安局交通警察支队	
临汾市畜牧兽医局	临汾市畜牧兽医局	
临汾市国土资源局	临汾市国土资源局	
临汾市文化广电新闻出版局	临汾市文化广电新闻出版局	
临汾市中级人民法院	临汾市中级人民法院	
临汾市人大常委会	临汾市人大常委会	
临汾市路灯管理所	临汾市路灯管理所	
临汾市农村养老保险管理服务中心	临汾市农村养老保险管理服务中心	
临汾市第一小学	临汾市第一小学	
临汾市福利彩票发行中心（综合）	临汾市福利彩票发行中心（综合）	
基本-对个人和家庭的补助	基本-对个人和家庭的补助	支出
临汾市纪律检查委员会	临汾市纪律检查委员会	
临汾市实验中学	临汾市实验中学	
临汾市安全生产监督管理局	临汾市安全生产监督管理局	
临汾市人民政府机关事务管理局	临汾市人民政府机关事务管理局	
临汾市统计局	临汾市统计局	
临汾市市容监察支队	临汾市市容监察支队	
临汾市园林事业局	临汾市园林事业局	
预算管理的行政事业性收费收入拨款	预算管理的行政事业性收费收入拨款	收入
临汾市妇幼保健院	临汾市妇幼保健院	
临汾市体育学校	临汾市体育学校	
临汾市人民政府办公厅	临汾市人民政府办公厅	
临汾市企业养老保险管理服务中心	临汾市企业养老保险管理服务中心	
临汾电视台	临汾电视台	
临汾高级技工学校	临汾高级技工学校	
临汾市委党校	临汾市委党校	
临汾市农机局	临汾市农机局	
临汾市环境监测站	临汾市环境监测站	
临汾市城区土地管理办公室	临汾市城区土地管理办公室	
债务还本支出	债务还本支出	支出
临汾市特殊教育学校	临汾市特殊教育学校	
临汾日报社	临汾日报社	
临汾市委办公厅和临汾市委办公厅档案室	临汾市委办公厅和临汾市委办公厅档案室	
