Source,Target,Weight
临汾市教育局,项目-商品和服务支出,154.6739628
财政拨款,临汾市新型农村合作医疗管理中心,150.486565
临汾市新型农村合作医疗管理中心,其它支出,150.4249766
财政拨款,临汾市民政局机关（行政),149.7922732
临汾市民政局机关（行政),项目-对个人和家庭的补助,149.5060025
财政拨款,临汾市教育局,147.8575629
政府性基金收入拨款,临汾市教育局,146.2623909
财政拨款,临汾市卫生局,146.0702712
财政拨款,临汾市人口和计划生育委员会,145.9082411
政府性基金收入拨款,临汾市住建局,145.9024598
财政拨款,临汾市环境卫生管理局,144.8000418
财政拨款,临汾市公安局,144.7843883
财政拨款,临汾市交通运输局,143.1612696
财政拨款,临汾职业技术学院,143.0035683
财政专户管理的非税收入拨款,临汾职业技术学院,142.1851137
财政拨款,山西师范大学临汾学院,141.9681503
财政拨款,临汾市公安局直属分局,141.7572667
政府性基金收入拨款,临汾市住房委员会办公室,140.3422818
财政拨款,山西省临汾第一中学校,139.8206092
临汾市医疗保险基金管理中心,项目-对个人和家庭的补助,139.2538919
临汾市粮食局,项目-商品和服务支出,139.157845
财政拨款,临汾市人力资源和社会保障局机关（行政）,138.8425004
临汾市人口和计划生育委员会,项目-对个人和家庭的补助,138.6204212
临汾市环境保护局机关,项目-商品和服务支出,138.5030636
临汾市公安局,基本-工资福利支出,138.4376397
临汾职业技术学院,基本-工资福利支出,138.3405977
临汾市卫生局,基本-工资福利支出,138.3307472
政府性基金收入拨款,临汾市粮食局,138.2832178
临汾市交通运输局,项目-工资福利支出,137.8509696
财政拨款,临汾市三中,136.9540712
专项收入拨款,临汾市环境保护局机关,136.7985694
临汾市住建局,其它资本性支出,136.7737212
财政拨款,临汾市科学技术局,136.6396644
山西师范大学临汾学院,基本-工资福利支出,136.3426319
临汾市住建局,其它支出,135.9548275
山西省临汾第一中学校,基本-工资福利支出,135.9215126
财政拨款,临汾市医疗保险基金管理中心,135.7969801
财政拨款,临汾市农业委员会,135.7876274
临汾市公安局直属分局,基本-工资福利支出,135.6687117
临汾市环境卫生管理局,项目-工资福利支出,135.5501402
临汾市三中,项目-商品和服务支出,135.5189841
财政专户管理的非税收入拨款,临汾市三中,135.1827636
临汾市水利局,项目-商品和服务支出,135.1768341
政府性基金收入拨款,临汾市民政局机关（行政),134.8264764
临汾市人口和计划生育委员会,项目-商品和服务支出,134.7262234
财政专户管理的非税收入拨款,山西师范大学临汾学院,134.5741919
财政拨款,临汾市人民检察院,134.3373117
临汾市科学技术局,其它支出,134.0990563
山西省临汾第一中学校,项目-商品和服务支出,133.9862138
